2020-08-14T00:00:00L15108年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2019"
,,,,,,,
第3表  所得收入者平均每人所得來源依可支配所得                    按所得收入者五等分位分,Table 3.  Income Sources of Income Recipients by Five Equal Divisions                             of Recipients according to Disposable Income,,,,,,
,,,,,,,
民 國 108 年,,,單位：元,2 0 1 9 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按 所 得 收 入 者 五 等 分 位 分,,,,
,,Five equal divisions of,recipients according to disposable income,,,,
,General average,1,2,3,4,5,
所得收入者人數,15527633.989,3105527,3105527,3105527,3105527,3105525.9891,No. of income recipients
一、所得收入總計,666576.91553,243163.41167,413864.55716,546405.68905,741124.24831,1388326.9064,A.Total receipts
1.受僱人員報酬,404483.03045,71545.87048,279239.6489,377743.90696,484442.78763,809443.07012,1.Compensation of employees
(1)本業薪資,301428.02569,58142.489942,233877.30647,300900.65744,353054.9198,561164.83933,(1)Full time payroll
(2)兼業薪資,23907.078524,4420.8756677,3479.9475991,12703.761144,42257.410192,56673.408683,(2)Part time payroll
(3)其他收入,79147.926243,8982.5048696,41882.394826,64139.488373,89130.457643,191604.82211,(3)Other receipts or subsidies
2.產業主所得,88406.346778,12599.727668,21459.451515,42360.34217,81675.322878,283936.9533,2.Entrepreneurial income
(1)農業淨收入,10910.727934,5237.4926312,6164.8816318,7648.5455297,12787.387169,22715.336553,(1)Net agricultural income
(2)營業淨收入,77495.618843,7362.235037,15294.569883,34711.79664,68887.935709,261221.61675,(2)Net operation surplus
3.財產所得收入,30124.539802,11236.416492,10232.631424,14277.937921,27654.226425,87221.505332,3. Property income
4.自用住宅設算租金收入,40003.474455,19524.828328,18555.34543,28100.043135,50422.242006,83414.927506,4.Imputed rent income
5.經常移轉收入,103535.23238,128212.24338,84350.495328,83904.539139,96915.285017,124293.6058,5.Current transfer receipts
(1)從私人,32513.179031,44313.527875,30155.791699,29023.093278,30432.684989,28640.796055,(1)From individuals
(2)從政府,17553.833242,22362.766989,18163.383733,17312.833203,15904.342183,14025.838954,(2)From government
(3)社會保險受益,51751.069688,61035.152574,35490.01853,36602.079164,49437.387608,76190.718518,(3)Benefit of social insurance
(4)從企業,1190.3244073,370.85621563,287.06476838,515.32930964,830.14481338,3948.2278271,(4)From enterprises
(5)從國外,526.8260137,129.93972809,254.23659682,451.20418499,310.72542456,1488.0244469,(5)From abroad
6.雜項收入,24.291662875,44.325320733,26.984558871,18.919725838,14.384354774,16.844351733,6.Miscellaneous receipts
二、非消費支出,108942.5298,40833.651616,68639.183777,90176.409424,118140.71098,226922.73163,B.Nonconsumption expenditures
1.利息支出,5959.3684984,1201.11723,2164.6877794,3834.8070124,6662.3357788,15933.897938,1.Interest
2.經常移轉支出,102983.16131,39632.534386,66474.495998,86341.602412,111478.3752,210988.83369,2.Current transfer expenditures
(1)對私人,24747.628305,11917.143181,12030.306382,17269.608918,26203.976447,56317.116875,(1)To private
(2)對政府,18648.993198,4530.7840084,5242.5863056,9104.0976313,15806.002251,58561.508783,(2)To government
(3)社會保險,58670.032586,22600.493736,48689.019643,59813.534265,68724.963826,93522.162807,(3)Social insurance
(4)對國外,916.50721618,584.11346015,512.58366704,154.36159831,743.43267633,2588.0452232,(4)To abroad
三、可支配所得,557634.38573,202329.76006,345225.37338,456229.27962,622983.53733,1161404.1748,C.Disposable income
