appleL1591年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2002"
,,,,,,,
第4表 所得收入者平均每人所得來源依可支配所得按所得收入者五等分位分,Table 4. Income Sources of Income Recipients by Five Equal Divisionsof Recipients according to Disposable Income,,,,,,
,,,,,,,
民 國 91 年,,,單位：元,2 0 0 2 Unit:NT$,,,
,總 平 均,依  可  支  配  所  得,按 所 得 收 入 者 五 等 分 位 分,,,,
,,Five equal divisions of,recipients according to disposable income,,,,
,General average,1,2,3,4,5,
所得收入者人數,11297826,2259565,2259565,2259565,2259565,2259566,No. of income recipients
一、所得收入總計,602844,225939,363795,493450,682179,1248855,A.Total receipts
1.受僱人員報酬,363709,111906,239110,339825,426084,701620,1.Compensation of employees
(1)本業薪資,282305,97628,204234,280511,330136,499015,(1)Full time payroll
(2)兼業薪資,18384,5448,6349,10481,20710,48936,(2)Part time payroll
(3)其他收入,63020,8830,28527,48833,75239,153669,(3)Other receipts or subsidies
2.產業主所得,107141,28844,41423,58119,119832,287486,2.Entrepreneurial income
(1)農業淨收入,12253,11895,9776,9000,12669,17927,(1)Net agricultural income
(2)營業淨收入,88517,16625,30754,47572,103356,244277,(2)Net operation surplus
(3)執行業務淨收入,6371,324,892,1548,3808,25282,(3)Net professional income
3.財產所得收入,30250,9131,10355,15575,26592,89599,3. Property income
4.自用住宅設算租金收入,36446,14519,18688,28451,47817,72754,4.Imputed rent income
5.經常移轉收入,65227,61439,54169,51438,61791,97300,5.Current transfer receipts
(1)從私人,20312,21423,16810,15637,20265,27423,(1)From individuals
(2)從政府,14334,21731,14770,11449,11699,12018,(2)From government
(3)社會保險受益,29050,18164,22194,24224,28738,51932,(3)Benefit of social insurance
(4)從企業,904,55,162,115,446,3740,(4)From enterprises
(5)從國外,628,66,232,13,643,2188,(5)From abroad
6.雜項收入,70,100,50,43,62,95,6.Miscellaneous receipts
二、非消費支出,105874,48752,63000,85249,122974,209396,B.Nonconsumption expenditures
1.利息支出,19082,11097,12029,16081,24617,31585,1.Interest
2.經常移轉支出,86792,37656,50971,69167,98356,177811,2.Current transfer expenditures
(1)對私人,26791,13408,14977,20027,29503,56042,(1)To private
(2)對政府,20472,4575,7970,13670,22167,53977,(2)To government
(3)社會保險,36702,17773,26629,34838,44197,60071,(3)Social insurance
(4)對國外,2827,1899,1394,633,2489,7721,(4)To abroad
三、可支配所得,496969,177187,300794,408201,559205,1039458,C.Disposable income
