appleL12101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012",,101年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2012"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 101 年,,,,單位：元,2 0 1 2 Unit:NT$,,,,,民 國 101 年,,,,單位：元,2 0 1 2 Unit:NT$,,,,,民 國 101 年,,,,單位：元,2 0 1 2 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
所得收入者人數,13537783,2501306,1721248,1415902,1076804,1702208,258622,No. of income recipients,,所得收入者人數,1258042,315347,304203,619345,297228,361549,280321,No. of income recipients,,所得收入者人數,426340,114518,178023,52230,239829,265809,148909,No. of income recipients
一、所得收入總計,621576,593540,870874,610599,513493,610115,596544,A.Total receipts,,一、所得收入總計,636394,694257,533647,522375,524601,476439,512942,A.Total receipts,,一、所得收入總計,526248,518565,586397,552056,541089,746580,659930,A.Total receipts
1.受僱人員報酬,383905,395504,553245,352643,311633,375608,308958,1.Compensation of employees,,1.受僱人員報酬,418195,488296,311508,303147,264173,234462,250211,1.Compensation of employees,,1.受僱人員報酬,297075,238186,309172,321850,381175,507019,359521,1.Compensation of employees
(1)本業薪資,286470,307188,400915,269159,240980,275251,231272,(1)Full time payroll,,(1)本業薪資,311582,355700,230387,233700,190295,161643,180113,(1)Full time payroll,,(1)本業薪資,222016,165042,217812,229094,288574,363003,243912,(1)Full time payroll
(2)兼業薪資,23373,15657,41356,21701,16910,24837,23967,(2)Part time payroll,,(2)兼業薪資,19068,15573,19057,11817,28704,31803,21737,(2)Part time payroll,,(2)兼業薪資,22574,32535,34612,29273,26534,24887,43684,(2)Part time payroll
(3)其他收入,74062,72660,110974,61784,53743,75520,53719,(3)Other receipts or subsidies,,(3)其他收入,87545,117023,62064,57630,45174,41016,48361,(3)Other receipts or subsidies,,(3)其他收入,52484,40609,56748,63483,66067,119129,71924,(3)Other receipts or subsidies
