appleL1284年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1995",,84年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1995"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,,民 國 84 年,,,,單位：元,1 9 9 5 Unit:NT$,,,,,,民 國 84 年,,,,,單位：元,1 9 9 5 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
所得收入者人數,9744267,1396656,694522,1574058,204965,724444,189725,No. of income recipients,,所得收入者人數,222848,599181,504243,228729,273300,220402,467813,534919,No. of income recipients,,所得收入者人數,379644,106896,157981,31756,185478,172656,409323,110192,354536,No. of income recipients
一、所得收入總計,555001,776265,619463,543965,509029,549622,491171,A.Total receipts,,一、所得收入總計,494885,504433,433810,471430,401323,404573,446957,461856,A.Total receipts,,一、所得收入總計,498258,461647,494281,449796,497890,595642,672149,598096,509244,A.Total receipts
1.受僱人員報酬,333984,487257,387172,350376,289375,339791,304051,1.Compensation of employees,,1.受僱人員報酬,269739,302737,241990,230761,192074,177846,256357,294002,1.Compensation of employees,,1.受僱人員報酬,276103,229553,257465,303473,348788,392732,354081,338041,312463,1.Compensation of employees
(1)本業薪資,264259,377233,294936,285449,223617,267318,244349,(1)Full time payroll,,(1)本業薪資,218029,248923,200769,177657,163784,139011,205394,233226,(1)Full time payroll,,(1)本業薪資,212670,187356,193798,236155,282699,299814,273542,266996,247719,(1)Full time payroll
(2)兼業薪資,13932,16084,21803,8853,24603,10911,10688,(2)Part time payroll,,(2)兼業薪資,13587,8868,6806,18543,5067,17982,9670,17938,(2)Part time payroll,,(2)兼業薪資,20129,12480,23038,24079,11974,25865,16330,8992,16959,(2)Part time payroll
(3)其他收入,55793,93940,70433,56074,41155,61562,49015,(3)Other receipts or subsidies,,(3)其他收入,38123,44946,34414,34560,23223,20853,41292,42838,(3)Other receipts or subsidies,,(3)其他收入,43303,29718,40630,43240,54115,67052,64209,62054,47785,(3)Other receipts or subsidies
