appleL1288年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 1999",,88年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 1999",,88年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 1999"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 88 年,,,,單位：元,1 9 9 9 Unit:NT$,,,,,民 國 88 年,,,,單位：元,1 9 9 9 Unit:NT$,,,,,,民 國 88 年,,,,,單位：元,1 9 9 9 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
所得收入者人數,10739475,1454268,782108,1857662,221492,842836,209249,No. of income recipients,,所得收入者人數,245244,656900,525603,259279,330239,235337,521170,599670,No. of income recipients,,所得收入者人數,369721,105463,150565,37326,206761,193699,461728,117818,355337,No. of income recipients
一、所得收入總計,618159,843605,682911,615268,552954,633773,582122,A.Total receipts,,一、所得收入總計,497835,586774,500564,531626,483167,445773,497764,509331,A.Total receipts,,一、所得收入總計,540285,458829,561486,475477,597618,667068,753098,602183,553478,A.Total receipts
1.受僱人員報酬,374277,543442,410611,404072,278786,397363,378166,1.Compensation of employees,,1.受僱人員報酬,290634,307854,295214,258347,245071,196965,284778,330828,1.Compensation of employees,,1.受僱人員報酬,285458,264931,291873,232964,420311,426259,427763,357143,328547,1.Compensation of employees
(1)本業薪資,290718,419888,309962,319990,222197,296287,294517,(1)Full time payroll,,(1)本業薪資,229938,239651,253318,190787,199081,162754,228303,264441,(1)Full time payroll,,(1)本業薪資,215554,204224,210604,177153,323626,283152,326072,267985,260657,(1)Full time payroll
(2)兼業薪資,16699,19949,18775,14093,13653,21556,14057,(2)Part time payroll,,(2)兼業薪資,11180,17876,3971,29639,6353,6692,14443,10637,(2)Part time payroll,,(2)兼業薪資,20271,14960,35880,13907,28913,35890,15404,22405,16385,(2)Part time payroll
(3)其他收入,66861,103606,81873,69988,42936,79521,69591,(3)Other receipts or subsidies,,(3)其他收入,49516,50327,37925,37922,39637,27519,42032,55750,(3)Other receipts or subsidies,,(3)其他收入,49633,45747,45389,41904,67772,107217,86288,66753,51505,(3)Other receipts or subsidies
2.產業主所得,107635,102136,118110,94028,125166,101998,77166,2.Entrepreneurial income,,2.產業主所得,90417,142450,111454,127520,133344,133483,88718,82728,2.Entrepreneurial income,,2.產業主所得,136886,98524,118941,100962,61787,80457,157965,97075,102509,2.Entrepreneurial income
(1)農業淨收入,12538,243,2490,2266,18670,4725,10800,(1)Net agricultural income,,(1)農業淨收入,15253,17486,16688,55707,56261,56174,20534,18715,(1)Net agricultural income,,(1)農業淨收入,42829,35708,13983,32199,949,2228,390,7610,2784,(1)Net agricultural income
(2)營業淨收入,90674,96626,115312,89341,82858,90486,66366,(2)Net operation surplus,,(2)營業淨收入,74975,113980,92298,71813,68859,68084,68082,62483,(2)Net operation surplus,,(2)營業淨收入,91335,62816,104846,68763,60726,75434,146390,83405,93377,(2)Net operation surplus
(3)執行業務淨收入,4422,5267,308,2421,23637,6787,0,(3)Net professional income,,(3)執行業務淨收入,189,10983,2468,0,8225,9225,102,1530,(3)Net professional income,,(3)執行業務淨收入,2721,0,112,0,111,2796,11185,6060,6348,(3)Net professional income
3.財產所得收入,37569,74197,51773,32156,38297,29661,19667,3. Property income,,3.財產所得收入,24342,30145,17069,22571,23516,24552,22947,21851,3. Property income,,3.財產所得收入,38569,11154,26275,41020,21204,53763,56054,44319,32974,3. Property income
4.自用住宅設算租金收入,39022,54395,42539,35306,26462,52415,54965,4.Imputed rent income,,4.自用住宅設算租金收入,33063,35769,29607,22064,28743,24850,41137,25357,4.Imputed rent income,,4.自用住宅設算租金收入,23420,23241,35883,9843,34849,37384,53765,39419,39124,4.Imputed rent income
5.經常移轉收入,59551,69149,59734,49676,84156,52324,52024,5.Current transfer receipts,,5.經常移轉收入,59239,70479,47124,101119,52443,65738,59975,48558,5.Current transfer receipts,,5.經常移轉收入,55883,60707,88408,90449,59282,69181,57470,64188,50305,5.Current transfer receipts
(1)從私人,20390,36223,22129,16703,33132,13927,15299,(1)From individuals,,(1)從私人,17253,19449,16408,12228,17038,23474,17144,12290,(1)From individuals,,(1)從私人,18809,19598,29267,27606,13577,18403,22042,22651,16201,(1)From individuals
(2)從政府,15718,11668,11212,12017,14658,14572,15052,(2)From government,,(2)從政府,18423,26253,11859,59672,14692,17637,16929,13007,(2)From government,,(2)從政府,17722,18431,21958,33230,15849,20174,14158,15893,12190,(2)From government
(3)社會保險受益,22503,19752,22785,20071,35824,22967,21650,(3)Benefit of social insurance,,(3)社會保險受益,23418,24622,18724,29150,20713,23441,25872,23093,(3)Benefit of social insurance,,(3)社會保險受益,19038,22601,36012,29613,29407,28902,19336,25539,20949,(3)Benefit of social insurance
(4)從企業,531,504,1621,535,486,791,22,(4)From enterprises,,(4)從企業,144,155,132,0,0,1186,30,168,(4)From enterprises,,(4)從企業,153,78,1172,0,63,1702,1533,106,61,(4)From enterprises
(5)從國外,409,1002,1988,350,56,67,0,(5)From abroad,,(5)從國外,0,0,0,69,0,0,0,0,(5)From abroad,,(5)從國外,160,0,0,0,385,0,402,0,905,(5)From abroad
6.雜項收入,105,286,144,30,87,12,134,6.Miscellaneous receipts,,6.雜項收入,140,77,97,5,50,185,210,9,6.Miscellaneous receipts,,6.雜項收入,69,272,105,239,187,23,80,40,19,6.Miscellaneous receipts
二、非消費支出,113133,150832,136509,117210,103654,124215,98742,B.Nonconsumption expenditures,,二、非消費支出,86543,101991,74558,76341,79033,79010,86390,94134,B.Nonconsumption expenditures,,二、非消費支出,92936,95070,109943,85484,102319,136441,149607,102758,102860,B.Nonconsumption expenditures
1.利息支出,26994,27040,35457,33225,21462,33967,15497,1.Interest,,1.利息支出,13920,25036,16116,18007,14154,16408,20987,22699,1.Interest,,1.利息支出,15041,24345,25354,13299,26646,32986,41137,25531,33971,1.Interest
2.經常移轉支出,86139,123792,101052,83985,82192,90247,83245,2.Current transfer expenditures,,2.經常移轉支出,72623,76955,58442,58334,64878,62602,65402,71435,2.Current transfer expenditures,,2.經常移轉支出,77894,70724,84589,72185,75674,103455,108470,77227,68889,2.Current transfer expenditures
(1)對私人,28958,41444,36180,27790,33087,29120,30895,(1)To private,,(1)對私人,25853,22555,14332,21267,25909,24828,20339,23625,(1)To private,,(1)對私人,33834,26547,35533,32650,25254,38941,29714,25303,21831,(1)To private
(2)對政府,18963,35034,23336,16268,15763,19400,16039,(2)To government,,(2)對政府,14775,17294,11550,11310,10824,11667,12836,12631,(2)To government,,(2)對政府,12090,15178,14669,9722,14289,22656,28101,19097,14772,(2)To government
(3)社會保險,35874,44973,38258,37598,29349,39781,36311,(3)Social insurance,,(3)社會保險,31880,32311,31930,25140,27976,24975,31599,34832,(3)Social insurance,,(3)社會保險,28767,28146,33307,29590,35639,36827,40689,32121,30546,(3)Social insurance
(4)對國外,2344,2341,3278,2328,3993,1946,0,(4)To abroad,,(4)對國外,115,4794,631,617,170,1132,629,347,(4)To abroad,,(4)對國外,3202,853,1081,223,493,5031,9966,707,1740,(4)To abroad
三、可支配所得,505026,692774,546402,498058,449300,509559,483380,C.Disposable income,,三、可支配所得,411292,484784,426006,455286,404134,366763,411375,415196,C.Disposable income,,三、可支配所得,447349,363759,451543,389993,495299,530627,603491,499425,450618,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
