appleL1290年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,,,,"The Survey of Family Income and Expenditure, 2001",,90年家庭收支調查報告,,,,,,,,,,"The Survey of Family Income and Expenditure, 2001"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),,Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,,民 國 90 年,,,,單位：元,2 0 0 1 Unit:NT$,,,,,,民 國 90 年,,,,,單位：元,2 0 0 1 Unit:NT$,,,,
,總 平 均,臺 北 市,高 雄 市,臺 北 縣,宜 蘭 縣,桃 園 縣,新 竹 縣,,,,苗 栗 縣,臺 中 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,臺 南 縣,高 雄 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,臺 中 市,嘉 義 市,臺 南 市,
,General,Taipei,Kaohsiung,Taipei,Yilan,Taoyuan,Hsinchu,,,,Miaoli,Taichung,Changhua,Nantou,Yunlin,Chiayi,Tainan,Kaohsiung,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Taichung,Chiayi,Tainan,
,average,City,City,County,County,County,County,,,,County,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,City,City,
所得收入者人數,11042460,1455752,801824,1963465,203311,906015,218213,No. of income recipients,,所得收入者人數,266914,656793,527127,251040,309695,239465,522044,599511,No. of income recipients,,所得收入者人數,393099,112259,151123,37667,214032,198824,516505,128284,369497,No. of income recipients
一、所得收入總計,611561,873794,692701,617688,521928,611645,569688,A.Total receipts,,一、所得收入總計,479976,516356,483686,466595,522235,460683,476872,463845,A.Total receipts,,一、所得收入總計,494802,460643,617280,497789,550254,779365,731109,576848,560929,A.Total receipts
1.受僱人員報酬,365164,536634,418624,391994,274431,390797,371892,1.Compensation of employees,,1.受僱人員報酬,285631,310630,254393,247496,261849,231912,268690,290732,1.Compensation of employees,,1.受僱人員報酬,269333,269622,323198,264508,363090,499802,376337,311333,326733,1.Compensation of employees
(1)本業薪資,284072,412048,323731,312895,205606,303100,278869,(1)Full time payroll,,(1)本業薪資,222465,251214,207487,186063,204088,173517,211462,234894,(1)Full time payroll,,(1)本業薪資,211507,198370,231782,202706,287100,345943,284752,237550,253123,(1)Full time payroll
(2)兼業薪資,16769,22040,24479,12521,24070,13144,23391,(2)Part time payroll,,(2)兼業薪資,11772,11314,9598,21193,16522,22982,18047,11681,(2)Part time payroll,,(2)兼業薪資,11368,24783,28043,16127,14741,19429,20559,14748,19874,(2)Part time payroll
(3)其他收入,64323,102546,70414,66577,44756,74553,69632,(3)Other receipts or subsidies,,(3)其他收入,51394,48102,37307,40241,41240,35413,39181,44156,(3)Other receipts or subsidies,,(3)其他收入,46457,46470,63372,45675,61249,134431,71027,59036,53736,(3)Other receipts or subsidies
2.產業主所得,107512,125583,118494,92995,92710,100793,57085,2.Entrepreneurial income,,2.產業主所得,88468,97337,124601,101212,123752,102658,87681,80680,2.Entrepreneurial income,,2.產業主所得,115165,78377,136072,86382,72292,109043,187523,108587,115408,2.Entrepreneurial income
(1)農業淨收入,12095,1546,3589,2250,15955,4990,8627,(1)Net agricultural income,,(1)農業淨收入,15129,12805,31409,32860,49059,48751,25112,20447,(1)Net agricultural income,,(1)農業淨收入,35697,36264,16860,24835,1609,3330,1492,5807,2066,(1)Net agricultural income
(2)營業淨收入,88286,108435,106554,86157,75978,90052,48015,(2)Net operation surplus,,(2)營業淨收入,69742,76198,89088,57150,74107,53078,61617,57722,(2)Net operation surplus,,(2)營業淨收入,72333,38415,111354,58411,68394,89375,164710,99728,109538,(2)Net operation surplus
(3)執行業務淨收入,7131,15602,8351,4587,777,5751,444,(3)Net professional income,,(3)執行業務淨收入,3597,8334,4105,11202,586,829,951,2511,(3)Net professional income,,(3)執行業務淨收入,7134,3698,7858,3136,2289,16338,21321,3053,3805,(3)Net professional income
3.財產所得收入,37054,77140,50106,34500,30258,24412,14059,3. Property income,,3.財產所得收入,23136,21181,19637,29582,38958,23292,20969,15817,3. Property income,,3.財產所得收入,24762,25351,26108,44472,18947,47247,61685,53274,30678,3. Property income
4.自用住宅設算租金收入,39719,58739,37644,45917,34349,45181,61294,4.Imputed rent income,,4.自用住宅設算租金收入,27996,27862,33965,24947,29629,27046,32897,24448,4.Imputed rent income,,4.自用住宅設算租金收入,22132,19407,40637,12819,30393,42590,43206,37417,39068,4.Imputed rent income
5.經常移轉收入,62032,75533,67661,52269,90112,50411,65197,5.Current transfer receipts,,5.經常移轉收入,54691,59295,51015,63353,68041,75608,66545,52161,5.Current transfer receipts,,5.經常移轉收入,63307,67652,91176,89112,65488,80682,62248,66057,49006,5.Current transfer receipts
(1)從私人,20582,34875,28819,15930,30563,11729,20365,(1)From individuals,,(1)從私人,14098,17158,17088,15082,20626,18193,19206,12552,(1)From individuals,,(1)從私人,22376,15319,32694,30727,19310,24679,21465,23497,13423,(1)From individuals
(2)從政府,13739,12555,11469,12006,17388,13000,16742,(2)From government,,(2)從政府,12216,11503,12805,16684,19537,19789,17236,13798,(2)From government,,(2)從政府,17557,22021,16839,25539,16632,13359,13117,12551,11921,(2)From government
(3)社會保險受益,26168,25880,25251,23515,40379,25213,27981,(3)Benefit of social insurance,,(3)社會保險受益,28215,26569,21056,29203,27850,35020,29025,23640,(3)Benefit of social insurance,,(3)社會保險受益,22192,30228,41227,28984,29379,38109,23879,28467,23463,(3)Benefit of social insurance
(4)從企業,679,607,1689,98,1464,337,106,(4)From enterprises,,(4)從企業,162,2607,66,184,28,748,143,1510,(4)From enterprises,,(4)從企業,411,84,413,3863,167,4301,111,835,0,(4)From enterprises
(5)從國外,865,1615,433,719,319,132,2,(5)From abroad,,(5)從國外,0,1458,0,2201,0,1859,935,661,(5)From abroad,,(5)從國外,771,0,3,0,0,234,3675,706,200,(5)From abroad
6.雜項收入,80,165,171,14,68,51,162,6.Miscellaneous receipts,,6.雜項收入,53,52,75,5,5,166,90,7,6.Miscellaneous receipts,,6.雜項收入,104,233,89,496,45,0,109,179,36,6.Miscellaneous receipts
二、非消費支出,111420,166636,120857,113340,87182,115622,95419,B.Nonconsumption expenditures,,二、非消費支出,83524,91532,77984,78292,82711,71505,81370,89454,B.Nonconsumption expenditures,,二、非消費支出,90156,81169,124581,89102,103219,175357,130405,111593,101880,B.Nonconsumption expenditures
1.利息支出,25192,28841,28750,31032,16070,27648,14771,1.Interest,,1.利息支出,12451,22460,14282,13463,16387,14026,18018,22953,1.Interest,,1.利息支出,14341,17134,32824,13793,30222,35115,38526,24557,28557,1.Interest
2.經常移轉支出,86228,137795,92107,82308,71112,87974,80648,2.Current transfer expenditures,,2.經常移轉支出,71073,69072,63702,64828,66323,57479,63352,66501,2.Current transfer expenditures,,2.經常移轉支出,75815,64035,91756,75309,72997,140242,91879,87036,73323,2.Current transfer expenditures
(1)對私人,28141,48438,31345,26493,28083,25150,27594,(1)To private,,(1)對私人,22413,17663,15749,21263,23171,19478,18917,21286,(1)To private,,(1)對私人,32227,26331,37824,37796,24377,49526,25454,28431,22319,(1)To private
(2)對政府,19106,36282,21128,16260,12928,18029,16722,(2)To government,,(2)對政府,15809,15155,15567,14298,14016,10995,13010,11982,(2)To government,,(2)對政府,13836,8888,18454,9573,12379,35487,23634,21181,15002,(2)To government
(3)社會保險,36638,46893,36858,38731,29402,40150,36327,(3)Social insurance,,(3)社會保險,30979,34422,31697,26350,29045,26969,31216,32864,(3)Social insurance,,(3)社會保險,29627,28590,33560,26885,32754,42134,41270,33901,34582,(3)Social insurance
(4)對國外,2343,6181,2777,824,699,4646,4,(4)To abroad,,(4)對國外,1872,1831,689,2917,91,37,209,368,(4)To abroad,,(4)對國外,125,227,1919,1054,3488,13096,1520,3523,1421,(4)To abroad
三、可支配所得,500141,707158,571844,504348,434746,496023,474269,C.Disposable income,,三、可支配所得,396451,424824,405701,388303,439524,389178,395503,374391,C.Disposable income,,三、可支配所得,404647,379473,492699,408687,447035,604007,600704,465254,459050,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,,,meaningless for precise statistics.,,,,
