appleL1299年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2010",,99年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2010",,99年家庭收支調查報告,,,,,,,,"The Survey of Family Income and Expenditure, 2010"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第1表 所得收入者平均每人所得來源按區域別分,Table 1. Income Sources of Income Recipients by Areas,,第1表 所得收入者平均每人所得來源按區域別分(續一),,,,,Table 1. Income Sources of Income Recipients by Areas (Cont.1),,第1表 所得收入者平均每人所得來源按區域別分(續完),Table 1. Income Sources of Income Recipients by Areas (Cont.End),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民 國 99 年,,,,單位：元,2 0 1 0 Unit:NT$,,,,,民 國 99 年,,,,單位：元,2 0 1 0 Unit:NT$,,,,,民 國 99 年,,,,單位：元,2 0 1 0 Unit:NT$,,,
,總 平 均,新 北 市,臺 北 市,臺 中 市,臺 南 市,高 雄 市,宜 蘭 縣,,,,桃 園 縣,新 竹 縣,苗 栗 縣,彰 化 縣,南 投 縣,雲 林 縣,嘉 義 縣,,,,屏 東 縣,臺 東 縣,花 蓮 縣,澎 湖 縣,基 隆 市,新 竹 市,嘉 義 市,
,General,New Taipei,Taipei,Taichung,Tainan,Kaohsiung,Yilan,,,,Taoyuan,Hsinchu,Miaoli,Changhua,Nantou,Yunlin,Chiayi,,,,Pingtung,Taitung,Hualien,Penghu,Keelung,Hsinchu,Chiayi,
,average,City,City,City,City,City,County,,,,County,County,County,County,County,County,County,,,,County,County,County,County,City,City,City,
所得收入者人數,12683101,2288676,1630686,1339681,1016042,1596998,238998,No. of income recipients,,所得收入者人數,1131408,287181,283007,619815,270180,320607,281104,No. of income recipients,,所得收入者人數,405126,112074,176905,47757,236238,271862,128756,No. of income recipients
一、所得收入總計,615016,611018,884546,574910,510631,616487,563231,A.Total receipts,,一、所得收入總計,620417,676366,537701,470326,524426,462123,439957,A.Total receipts,,一、所得收入總計,523825,438229,569277,637336,589499,708718,570907,A.Total receipts
1.受僱人員報酬,380610,409801,541638,337811,313477,380180,279149,1.Compensation of employees,,1.受僱人員報酬,411209,476315,335698,261201,297599,247497,197518,1.Compensation of employees,,1.受僱人員報酬,301421,219425,321346,370948,397294,481373,318711,1.Compensation of employees
(1)本業薪資,286776,318047,393629,259750,247607,284691,207573,(1)Full time payroll,,(1)本業薪資,304981,360118,251992,206627,209318,193265,153623,(1)Full time payroll,,(1)本業薪資,225754,151921,221442,266697,302594,348321,213283,(1)Full time payroll
(2)兼業薪資,22032,13705,34817,21344,13230,26137,26025,(2)Part time payroll,,(2)兼業薪資,24709,18672,23093,10999,30723,8971,11763,(2)Part time payroll,,(2)兼業薪資,25881,24136,44578,33993,21039,23800,46665,(2)Part time payroll
(3)其他收入,71801,78050,113192,56718,52640,69351,45551,(3)Other receipts or subsidies,,(3)其他收入,81519,97524,60613,43576,57558,45261,32132,(3)Other receipts or subsidies,,(3)其他收入,49786,43368,55326,70258,73661,109252,58763,(3)Other receipts or subsidies
2.產業主所得,89867,71255,93450,121609,84449,89335,115849,2.Entrepreneurial income,,2.產業主所得,77628,68005,75299,96937,99868,99506,111439,2.Entrepreneurial income,,2.產業主所得,107559,103394,87607,114426,73123,73844,99457,2.Entrepreneurial income
(1)農業淨收入,9076,1147,1219,8086,9055,4815,14361,(1)Net agricultural income,,(1)農業淨收入,2779,11717,15948,18778,31763,42944,32379,(1)Net agricultural income,,(1)農業淨收入,38595,43489,18107,10001,0,2011,3810,(1)Net agricultural income
(2)營業淨收入,75264,67732,84815,104629,71579,77401,88667,(2)Net operation surplus,,(2)營業淨收入,63866,54680,56896,72951,67157,54112,78305,(2)Net operation surplus,,(2)營業淨收入,68633,59147,62758,83153,73123,71009,83012,(2)Net operation surplus
(3)執行業務淨收入,5527,2377,7416,8894,3815,7119,12822,(3)Net professional income,,(3)執行業務淨收入,10984,1609,2455,5209,949,2450,755,(3)Net professional income,,(3)執行業務淨收入,331,758,6742,21272,0,824,12635,(3)Net professional income
3.財產所得收入,28309,26101,67347,18878,13996,31793,22102,3. Property income,,3.財產所得收入,17155,38806,29301,16326,16152,10003,13110,3. Property income,,3.財產所得收入,21609,10563,29164,20120,14260,37437,31774,3. Property income
4.自用住宅設算租金收入,38994,42186,65428,35325,35639,31061,35039,4.Imputed rent income,,4.自用住宅設算租金收入,48334,26404,23877,31211,30766,23384,25245,4.Imputed rent income,,4.自用住宅設算租金收入,22609,15284,37040,24124,24505,34412,37403,4.Imputed rent income
5.經常移轉收入,77164,61647,116462,61230,63034,84072,111043,5.Current transfer receipts,,5.經常移轉收入,66072,66556,73431,64580,79994,81698,92617,5.Current transfer receipts,,5.經常移轉收入,70531,89452,94050,107683,80218,81627,83557,5.Current transfer receipts
(1)從私人,28353,21457,70219,16992,17396,28271,36194,(1)From individuals,,(1)從私人,19378,19245,23159,19974,18475,20923,28152,(1)From individuals,,(1)從私人,24336,23902,28348,28099,24878,26382,29569,(1)From individuals
(2)從政府,17589,13214,16253,13753,19467,18887,26137,(2)From government,,(2)從政府,16155,16636,18476,17625,21232,26044,31897,(2)From government,,(2)從政府,20852,31019,29026,32576,18476,14624,19429,(2)From government
(3)社會保險受益,29683,25511,28189,28624,25940,34775,46880,(3)Benefit of social insurance,,(3)社會保險受益,27699,26232,31146,26327,39180,33817,32157,(3)Benefit of social insurance,,(3)社會保險受益,25180,32805,35548,46667,36649,39399,34513,(3)Benefit of social insurance
(4)從企業,702,801,746,344,232,1001,1752,(4)From enterprises,,(4)從企業,531,2488,651,483,1107,195,411,(4)From enterprises,,(4)從企業,164,1727,1128,340,215,1221,45,(4)From enterprises
(5)從國外,837,664,1055,1518,0,1137,81,(5)From abroad,,(5)從國外,2310,1955,0,171,0,718,0,(5)From abroad,,(5)從國外,0,0,0,0,0,0,0,(5)From abroad
6.雜項收入,73,28,220,56,36,47,49,6.Miscellaneous receipts,,6.雜項收入,19,280,95,71,48,36,28,6.Miscellaneous receipts,,6.雜項收入,96,110,69,35,99,25,6,6.Miscellaneous receipts
二、非消費支出,99760,95599,143433,89808,80679,100371,90011,B.Nonconsumption expenditures,,二、非消費支出,110226,125049,94694,74129,81157,75515,62729,B.Nonconsumption expenditures,,二、非消費支出,83346,64921,98846,96803,94091,125282,92526,B.Nonconsumption expenditures
1.利息支出,7792,7569,13378,6501,5326,8846,5500,1.Interest,,1.利息支出,9215,7200,5964,3890,6944,1582,3322,1.Interest,,1.利息支出,4410,4036,9262,5876,9421,10997,6507,1.Interest
2.經常移轉支出,91969,88030,130054,83307,75354,91526,84511,2.Current transfer expenditures,,2.經常移轉支出,101010,117849,88730,70239,74213,73933,59407,2.Current transfer expenditures,,2.經常移轉支出,78936,60885,89584,90927,84670,114284,86019,2.Current transfer expenditures
(1)對私人,24959,21035,38729,16994,16898,27263,30196,(1)To private,,(1)對私人,27244,32673,25063,15950,20679,24475,18332,(1)To private,,(1)對私人,29643,19398,31278,33543,23444,30311,28756,(1)To private
(2)對政府,17517,14554,30381,17110,14668,17350,12881,(2)To government,,(2)對政府,17254,26408,16773,12509,14084,11404,9040,(2)To government,,(2)對政府,11867,8653,15809,13262,12907,24580,16794,(2)To government
(3)社會保險,47707,51996,59330,46496,43342,44396,40269,(3)Social insurance,,(3)社會保險,51480,58641,44725,39131,39345,38007,31584,(3)Social insurance,,(3)社會保險,36965,32317,41564,44071,45880,54090,40189,(3)Social insurance
(4)對國外,1786,445,1614,2707,445,2516,1165,(4)To abroad,,(4)對國外,5032,127,2169,2649,105,47,451,(4)To abroad,,(4)對國外,461,517,933,52,2438,5304,280,(4)To abroad
三、可支配所得,515256,515419,741113,485102,429952,516116,473219,C.Disposable income,,三、可支配所得,510191,551317,443007,396196,443270,386608,377228,C.Disposable income,,三、可支配所得,440478,373308,470430,540532,495408,583436,478381,C.Disposable income
附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,,,附註：由於縣市別樣本數有限，應用時需考量抽樣誤差(一般統計上係採平均數±1.96個標準差,,,,,"Note：Due to the limited sample number, when you apply the figures, you must pay attention to the",,,
為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,,,為信賴區間)，若據以作縣市排名，不具嚴謹統計意義。,,,,,sample error the figures might caused (usually in statistics mean±1.96standard deviation will,,,
,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,,,,,,,,"be adopted as confidence interval). If cities or counties are ranked by the result, it will be",,,
,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,,,,,,,,meaningless for precise statistics.,,,
