作者不明2026-08-13T18:32:48.008L14114年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 2025",,114年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 2025"
,,,,,,,,,,,,,,,
第2表 所得收入者平均每人所得來源按職業別分,Table 2. Income Sources of Income Recipients by Occupation,第2表 所得收入者平均每人所得來源按職業別分(續),Table 2. Income Sources of Income Recipients by Occupation (Cont.),,,,,,,,,,,,
,,,,,,,,,,,,,,,
民 國 114 年,,,單位：元,2 0 2 5 Unit:NT$,,,,,民 國 114 年,,單位：元,2 0 2 5 Unit:NT$,,,
,總 平 均,民 意 代 表 、 主管 及 經 理 人 員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務支援人員,服 務 及 銷 售工 作 人 員,,,,農、林、漁、牧業生產人員,技 藝 有 關 工 作 人 員,機械設備操作及組裝人員,基 層 技 術 工及  勞  力  工,其  他,
,General average,"Legislators, Senior Officials and Managers",Professionals,Technicians and associate pro-fessionals,Clerical Support Workers,Service and Sales Workers,,,,"Skilled Agricultural, Forestry and Fishery Workers",Craft and Related Trades Workers,"Plant and Machine Operators, and Assemblers",Elementary Labourers,Others,
所得收入者人數,17419907,510189,1620740,2196426,1539169,2410092,No. of income recipients,,所得收入者人數,485822,1327615,1318986,704462,5306405,No. of income recipients
一、所得收入總計(中位數),626757,1648768,1097806,888147,638225,613867,A.Total receipts(median),,一、所得收入總計(中位數),450412,711733,662150,537436,350348,A.Total receipts(median)
二、所得收入總計(平均數),763882,2048387,1284857,1031697,696204,712367,B.Total receipts(mean),,二、所得收入總計(平均數),581135,795862,716051,570378,459741,B.Total receipts(mean)
1.受僱人員報酬,447973,1463332,1012810,730470,568978,352469,1.Compensation of employees,,1.受僱人員報酬,51192,457674,503028,409394,94514,1.Compensation of employees
(1)本業薪資,325860,1048838,740742,550602,441392,294092,(1)Full time payroll,,(1)本業薪資,23435,389063,396677,356553,7722,(1)Full time payroll
(2)兼業薪資,27604,3233,4983,2532,2330,3489,(2)Part time payroll,,(2)兼業薪資,24033,4577,3232,2777,80959,(2)Part time payroll
(3)其他收入,94509,411261,267085,177336,125256,54888,(3)Other receipts or subsidies,,(3)其他收入,3724,64034,103119,50065,5833,(3)Other receipts or subsidies
2.產業主所得,90944,233154,81507,134378,12440,210682,2.Entrepreneurial income,,2.產業主所得,290152,184812,82703,21583,95,2.Entrepreneurial income
(1)農業淨收入,8477,4177,33,301,222,582,(1)Net agricultural income,,(1)農業淨收入,288950,501,1161,559,19,(1)Net agricultural income
(2)營業淨收入,82467,228977,81474,134077,12218,210100,(2)Net operation surplus,,(2)營業淨收入,1202,184311,81542,21023,76,(2)Net operation surplus
3.財產所得收入,40781,146764,50960,37838,17749,14817,3. Property income,,3.財產所得收入,23770,14549,9634,8762,67287,3. Property income
4.自用住宅設算租金收入,42973,106637,59225,46203,22338,25602,4.Imputed rent income,,4.自用住宅設算租金收入,40520,37017,32755,22047,51459,4.Imputed rent income
5.經常移轉收入,141197,98498,80352,82807,74695,108782,5.Current transfer receipts,,5.經常移轉收入,175440,101795,87918,108576,246363,5.Current transfer receipts
(1)從私人,36156,19184,17623,16446,15018,18109,(1)From individuals,,(1)從私人,28372,12553,12709,20148,80504,(1)From individuals
(2)從政府,33417,30663,27393,25814,26696,29519,(2)From government,,(2)從政府,72751,28865,27588,31834,41585,(2)From government
(3)社會保險受益,69498,45467,34370,38955,31568,59271,(3)Benefit of social insurance,,(3)社會保險受益,72444,59564,45784,55878,120747,(3)Benefit of social insurance
(4)從企業,1642,960,563,1125,1249,1308,(4)From enterprises,,(4)從企業,1874,662,1836,357,2863,(4)From enterprises
(5)從國外,484,2225,403,467,164,574,(5)From abroad,,(5)從國外,0,151,0,358,664,(5)From abroad
6.雜項收入,14,1,1,0,4,14,6.Miscellaneous receipts,,6.雜項收入,61,15,14,16,23,6.Miscellaneous receipts
三、非消費支出,127324,468989,270312,197203,133697,103195,C.Nonconsumption expenditures,,三、非消費支出,59369,120995,129230,82792,44230,C.Nonconsumption expenditures
1.利息支出,7471,29485,21517,11971,4789,6479,1.Interest,,1.利息支出,1660,6456,6430,2398,2148,1.Interest
2.經常移轉支出,119853,439504,248795,185231,128908,96715,2.Current transfer expenditures,,2.經常移轉支出,57709,114540,122800,80394,42082,2.Current transfer expenditures
(1)對私人,27140,114035,52006,39681,18413,19994,(1)To private,,(1)對私人,20722,25016,20478,12800,16454,(1)To private
(2)對政府,20715,151316,58280,28145,8926,10008,(2)To government,,(2)對政府,12053,14499,11662,5883,8459,(2)To government
(3)社會保險,71061,162053,136674,115409,101459,66365,(3)Social insurance,,(3)社會保險,24894,74923,90412,60760,17051,(3)Social insurance
(4)對國外,937,12100,1834,1997,110,349,(4)To abroad,,(4)對國外,39,102,248,951,118,(4)To abroad
四、可支配所得(平均數),636558,1579398,1014545,834494,562507,609172,D.Disposable income(mean),,四、可支配所得(平均數),521766,674866,586821,487586,415511,D.Disposable income(mean)
五、可支配所得(中位數),518510,1306305,870487,709558,508369,516608,E.Disposable income(median),,五、可支配所得(中位數),409847,599481,541037,461350,316999,E.Disposable income(median)
