appleL1483年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1994",,83年家庭收支調查報告,,,,,,"The Survey of Family Income and Expenditure, 1994"
,,,,,,,,,,,,,,,
第3表 所得收入者平均每人所得來源按職業別分,,,,Table 3. Income Sources of Income Recipients by Occupation,,,,,第3表 所得收入者平均每人所得來源按職業別分(續),,,Table 3. Income Sources of Income Recipients by Occupation (Cont.),,,
,,,,,,,,,,,,,,,
民 國 83 年,,,單位：元,1 9 9 4 Unit:NT$,,,,,民 國 83 年,,單位：元,1 9 9 4 Unit:NT$,,,
,總 平 均,民意代表、行政、企業主管及經理人員,專 業 人 員,技 術 員 及 助    理 專 業 人 員,事務工作人員,服 務 工 作 人    員 及 售 貨 員,,,,農事、畜牧、狩獵、林   業、漁業及有關工作者,技 術 工 及 有     關 工 作 人 員,機 械 設 備 操 作    工 及 組 裝 工,非 技 術 工    及 體 力 工,其  他,
,General average,"Legislators, govern- ment administrators,  business executives and managers",Professionals,Technicians and associate pro-fessionals,Clerks,Service workers and shop and market sales workers,,,,"Agriculturist, animal hus-  bandmen, hunter, forester,    and fishermen",Craft and related      trades workers,Plant and machine operators and assemblers,Elementary occupations,Others,
所得收入者人數,9568121,484581,551439,1091748,976233,1366254,No. of income recipients,,所得收入者人數,863301,1508218,1350745,629376,746226,No. of income recipients
一、所得收入總計,514432,1125813,835310,640968,461468,495953,A.Total receipts,,一、所得收入總計,287043,503407,431793,352598,369725,A.Total receipts
1.受僱人員報酬,320694,560616,663231,515718,391998,165440,1.Compensation of employees,,1.受僱人員報酬,60831,345915,296867,266279,156099,1.Compensation of employees
(1)本業薪資,257116,443887,517926,407194,314602,136058,(1)Full time payroll,,(1)本業薪資,45564,310042,249841,233146,41136,(1)Full time payroll
(2)兼業薪資,12150,7925,9792,3961,4011,3802,(2)Part time payroll,,(2)兼業薪資,13883,2163,2247,3027,98357,(2)Part time payroll
(3)其他收入,51427,108804,135514,104563,73385,25580,(3)Other receipts or subsidies,,(3)其他收入,1384,33711,44780,30106,16607,(3)Other receipts or subsidies
2.產業主所得,99737,323473,57157,30664,7109,256609,2.Entrepreneurial income,,2.產業主所得,143631,87708,74417,28564,320,2.Entrepreneurial income
(1)農業淨收入,13611,3397,1204,378,247,791,(1)Net agricultural income,,(1)農業淨收入,141755,1756,417,900,37,(1)Net agricultural income
(2)營業淨收入,81478,305979,15572,18983,6223,254384,(2)Net operation surplus,,(2)營業淨收入,1822,85682,74000,27665,284,(2)Net operation surplus
(3)執行業務淨收入,4648,14097,40381,11303,639,1434,(3)Net professional income,,(3)執行業務淨收入,54,270,0,0,0,(3)Net professional income
3.財產所得收入,29067,134198,41730,27857,18122,19182,3. Property income,,3.財產所得收入,16443,14697,11480,11712,75751,3. Property income
4.自用住宅設算租金收入,27160,66413,36364,33831,16207,26778,4.Imputed rent income,,4.自用住宅設算租金收入,17840,28206,21826,16057,27826,4.Imputed rent income
5.經常移轉收入,37672,40929,36746,32809,27960,27833,5.Current transfer receipts,,5.經常移轉收入,48178,26791,27116,29898,109580,5.Current transfer receipts
(1)從私人,16100,15521,11817,11397,8099,11379,(1)From individuals,,(1)從私人,22564,8001,8322,10787,73091,(1)From individuals
(2)從政府,4034,2064,933,718,842,3303,(2)From government,,(2)從政府,7511,2478,1776,4119,21107,(2)From government
(3)從企業,17317,23193,23778,20652,18638,13013,(3)From enterprises,,(3)從企業,18103,16312,17018,14962,13645,(3)From enterprises
(4)從國外,221,152,217,43,380,139,(4)From abroad,,(4)從國外,0,0,0,30,1738,(4)From abroad
6.雜項收入,102,184,81,89,72,110,6.Miscellaneous receipts,,6.雜項收入,119,90,87,86,149,6.Miscellaneous receipts
二、非消費支出,74853,202309,129430,105296,60927,66324,B.Nonconsumption expenditures,,二、非消費支出,38823,71454,62268,43010,39242,B.Nonconsumption expenditures
1.利息支出,19480,55882,28621,28910,12837,20521,1.Interest,,1.利息支出,5726,20342,16959,9709,9053,1.Interest
2.經常移轉支出,55373,146428,100810,76386,48090,45804,2.Current transfer expenditures,,2.經常移轉支出,33097,51112,45309,33301,30189,2.Current transfer expenditures
(1)對私人,23949,58888,39807,30117,18078,22609,(1)To private,,(1)對私人,17612,22723,19439,14318,16749,(1)To private
(2)對政府,13925,54891,31750,23241,10720,9779,(2)To government,,(2)對政府,4662,11389,8404,4984,5685,(2)To government
(3)對企業,15956,24238,22025,21457,18500,12848,(3)To enterprises,,(3)對企業,10565,16547,17237,13928,4842,(3)To enterprises
(4)對國外,1542,8411,7227,1571,793,567,(4)To abroad,,(4)對國外,258,453,228,71,2913,(4)To abroad
三、可支配所得,439579,923504,705879,535672,400540,429628,C.Disposable income,,三、可支配所得,248220,431954,369525,309587,330483,C.Disposable income
