appleL13105年家庭收支調查報告,,,,
,,,,
第5表 所得收入者平均每人所得來源按農家、非農家分,,,,
Table 5. Income Sources of Income Recipients by Farm or Non-farm,,,,
,,,,單位：元
,民 國 105 年,,2 0 1 6,Unit：NT$
,,,,
,總 平 均,農 家,非 農 家,
,General average,Farm,Non-farm,
,,,,
所得收入者人數,14766214,1415156,13351058,No. of income recipients
一、所得收入總計,636709,508356,650314,A.Total receipts
1.受僱人員報酬,383688,212589,401824,1.Compensation of employees
(1)本業薪資,286224,155972,300030,(1)Full time payroll
(2)兼業薪資,25182,21249,25599,(2)Part time payroll
(3)其他收入,72282,35369,76195,(3)Other receipts or subsidies
2.產業主所得,88367,151885,81634,2.Entrepreneurial income
(1)農業淨收入,11233,105659,1224,(1)Net agricultural income
(2)營業淨收入,77134,46226,80410,(2)Net operation surplus
3.財產所得收入,29423,19796,30443,3. Property income
4.自用住宅設算租金收入,39656,28152,40876,4.Imputed rent income
5.經常移轉收入,95545,95900,95508,5.Current transfer receipts
(1)從私人,31788,22182,32806,(1)From individuals
(2)從政府,18525,30930,17210,(2)From government
(3)社會保險受益,43577,41396,43808,(3)Benefit of social insurance
(4)從企業,1045,915,1059,(4)From enterprises
(5)從國外,610,477,625,(5)From abroad
6.雜項收入,30,34,30,6.Miscellaneous receipts
二、非消費支出,103845,68925,107546,B.Nonconsumption expenditures
1.利息支出,5728,1128,6216,1.Interest
2.經常移轉支出,98117,67798,101330,2.Current transfer expenditures
(1)對私人,24056,18291,24667,(1)To private
(2)對政府,18339,11926,19019,(2)To government
(3)社會保險,54729,36479,56664,(3)Social insurance
(4)對國外,992,1102,981,(4)To abroad
三、可支配所得,532864,439431,542768,C.Disposable income
