appleL1386年家庭收支調查報告,,,,,,,"The Survey of Family Income and Expenditure, 1997"
,,,,,,,
第2表 所得收入者平均每人所得來源按農家、非農家及都市化程度別分,Table 2. Income Sources of Income Recipients by Farm or,,,,,,
,,,,Non-farm and Degree of Urbanization,,,
,,,,,,,
,民 國 86 年,,單位：元,1 9 9 7,Unit：NT$,,
,,,,都  市  化  程  度,,,
,總 平 均,農 家,非 農 家,Degree  of  urbanization,,,
,General average,Farm,Non-farm,都 市,城 鎮,鄉 村,
,,,,City,Town,Village,
所得收入者人數,10411639,1449108,8962531,6271486,2794884,1345269,No. of income recipients
一、所得收入總計,586176,400196,616247,656236,512467,412702,A.Total receipts
1.受僱人員報酬,355881,191099,382524,403175,317879,214356,1.Compensation of employees
(1)本業薪資,278740,156785,298458,311398,254407,177044,(1)Full time payroll
(2)兼業薪資,13871,7961,14827,17254,9360,7473,(2)Part time payroll
(3)其他收入,63270,26352,69239,74522,54112,29839,(3)Other receipts or subsidies
2.產業主所得,111159,119082,109878,118301,97270,106719,2.Entrepreneurial income
(1)農業淨收入,11936,77750,1295,2983,14352,48657,(1)Net agricultural income
(2)營業淨收入,94017,40500,102669,108427,79583,56825,(2)Net operation surplus
(3)執行業務淨收入,5206,832,5913,6891,3336,1238,(3)Net professional income
3.財產所得收入,35555,19760,38109,44925,22786,18403,3. Property income
4.自用住宅設算租金收入,36682,24286,38686,41727,32158,22561,4.Imputed rent income
5.經常移轉收入,46704,45861,46841,47846,42295,50541,5.Current transfer receipts
(1)從私人,17611,17018,17706,19403,13749,17278,(1)From individuals
(2)從政府,11006,11824,10874,10455,10628,14357,(2)From government
(3)社會保險受益,17498,16725,17623,17382,17192,18678,(3)Benefit of social insurance
(4)從企業,323,120,356,206,671,149,(4)From enterprises
(5)從國外,266,175,281,400,55,80,(5)From abroad
6.雜項收入,194,108,209,262,78,123,6.Miscellaneous receipts
二、非消費支出,104773,60957,111857,118846,92212,65260,B.Nonconsumption expenditures
1.利息支出,25082,8301,27795,29634,22080,10094,1.Interest
2.經常移轉支出,79691,52656,84062,89212,70133,55166,2.Current transfer expenditures
(1)對私人,27569,21562,28540,30461,23791,21939,(1)To private
(2)對政府,17611,9274,18959,21133,13811,9090,(2)To government
(3)社會保險,33284,21527,35185,36078,31906,23119,(3)Social insurance
(4)對國外,1227,293,1378,1540,624,1018,(4)To abroad
三、可支配所得,481404,339239,504389,537390,420255,347442,C.Disposable income
