第9表主要國家(地區)家庭所得分配狀況,,,,,,
Table 9. Income Distribution in Selected Countries,,,,,,
,,,,,,
國名,年別,五等分位組之所得分配比(%),最高所得組為最低所得組之倍數(倍),吉尼係數,,
Quintile shares oftotal income (%),Ratio of income share of highest 20% to that of lowest 20% households,Gini's concentration coefficient,,,,
Countries,Year,最低所得組,最高所得組,,,
(20%),(20%),,,,,
Lowest 20%,Highest 20%,,,,,
一、每戶,A. Per household,,,,,
香港,Hong Kong,2021,-,-,25.63,-
日本(a),Japan(a),2025,6.1,42.2,6.93,0.35599999999999998
中華民國,Republic of China,2025,6.6,40.5,6.17,0.34100000000000003
美國(a),U.S.A(a),2009,4.5999999999999996,44.4,9.59,0.38800000000000001
美國(b),U.S.A(b),2024,3.1,52.2,17.12,0.48799999999999999
二、每人,B. Per capita,,,,,
巴西,Brazil,2024,3.9,55.4,14.21,0.503
加拿大,Canada,2022,7.7,39.5,5.13,0.315
中國大陸,China,2022,7.3,43.7,5.99,0.36
哥倫比亞,Colombia,2024,3.2,58.9,18.41,0.54400000000000004
芬蘭,Finland,2023,9.1999999999999993,36.700000000000003,3.99,0.27400000000000002
法國,France,2023,7.7,39.700000000000003,5.16,0.318
德國,Germany,2022,6.9,40.9,5.93,0.33700000000000002
義大利,Italy,2023,6.6,41.1,6.23,0.34300000000000003
日本(b),Japan(b),2019,8.1,36.700000000000003,4.54,0.28599999999999998
南韓,"Korea, Rep.",2024,6.8,39.4,5.78,0.32500000000000001
盧森堡,Luxembourg,2023,7.1,40.700000000000003,5.73,0.33600000000000002
馬來西亞,Malaysia,2021,5.9,46.9,7.95,0.40699999999999997
墨西哥,Mexico,2024,5.6,48.9,8.73,0.42599999999999999
荷蘭,Netherlands,2021,9.4,35.200000000000003,3.74,0.25700000000000001
挪威,Norway,2023,9.1,35.799999999999997,3.93,0.26500000000000001
中華民國,Republic of China,2025*,10,37.4,3.73,0.27200000000000002
,,2025**,9.4,36.1,3.85,0.26600000000000001
新加坡(a),Singapore(a),2025,3.5,49.2,14.03,0.45200000000000001
新加坡(b),Singapore(b),2025,-,-,-,0.379
西班牙,Spain,2023,6.5,40.200000000000003,6.18,0.33400000000000002
瑞典,Sweden,2023,7.9,37.200000000000003,4.71,0.29299999999999998
英國,United Kingdom,2024,-,-,4.54,0.36799999999999999
美國(b),U.S.A(b),2024,3.5,50.5,14.43,0.46500000000000002
