第5表人數五等分位組之所得差距,,,,,
Table 5. Per Capita Disposable Income Inequality Indices,,,,,
年別,每人所得Per capita income,每人所得Per capita income,,,
(每戶所得/戶量),(每戶所得/ ),,,,
Household income/household size,Household income/square root,,,,
,of household size,,,,
Year,五等分位,吉尼係數,五等分位,吉尼係數,
倍數(倍),,倍數(倍),,,
Ratio of income share of highest 20% to that of lowest 20%,Gini's concentration coefficient,Ratio of income share of highest 20% to that of lowest 20%,Gini's concentration coefficient,,
70年,1981,4.3099999999999996,0.29299999999999998,3.68,0.26100000000000001
71年,1982,4.29,0.29399999999999998,3.63,0.25900000000000001
72年,1983,4.26,0.29299999999999998,3.7,0.26400000000000001
73年,1984,4.28,0.29199999999999998,3.7,0.26200000000000001
74年,1985,4.28,0.29199999999999998,3.73,0.26300000000000001
75年,1986,4.21,0.29099999999999998,3.72,0.26500000000000001
76年,1987,4.0999999999999996,0.28599999999999998,3.68,0.26300000000000001
77年,1988,4.26,0.29299999999999998,3.77,0.26800000000000002
78年,1989,4.2300000000000004,0.29099999999999998,3.79,0.26600000000000001
79年,1990,4.37,0.29799999999999999,3.93,0.27400000000000002
80年,1991,4.41,0.3,3.91,0.27400000000000002
81年,1992,4.29,0.29199999999999998,3.9,0.27100000000000002
82年,1993,4.2699999999999996,0.29299999999999998,3.92,0.27200000000000002
83年,1994,4.17,0.28999999999999998,3.88,0.27300000000000002
84年,1995,4.21,0.29299999999999998,3.85,0.27300000000000002
85年,1996,4.12,0.28999999999999998,3.82,0.27
86年,1997,4.18,0.29199999999999998,3.83,0.27100000000000002
87年,1998,4.18,0.29499999999999998,3.82,0.27300000000000002
88年,1999,4.08,0.29199999999999998,3.76,0.27100000000000002
89年,2000,4.1500000000000004,0.29399999999999998,3.8,0.27300000000000002
90年,2001,4.57,0.312,4.3099999999999996,0.29499999999999998
91年,2002,4.59,0.313,4.32,0.29599999999999999
92年,2003,4.3899999999999997,0.30599999999999999,4.17,0.28999999999999998
93年,2004,4.28,0.30099999999999999,4.05,0.28399999999999997
94年,2005,4.24,0.3,4.03,0.28399999999999997
95年,2006,4.18,0.29499999999999998,3.98,0.28100000000000003
96年,2007,4.16,0.29599999999999999,4.03,0.28399999999999997
97年,2008,4.2300000000000004,0.3,4.0199999999999996,0.28399999999999997
98年,2009,4.3499999999999996,0.30199999999999999,4.18,0.28599999999999998
99年,2010,4.25,0.29599999999999999,4.0999999999999996,0.28299999999999997
100年,2011,4.29,0.29599999999999999,4.1399999999999997,0.28299999999999997
101年,2012,4.1399999999999997,0.28999999999999998,4.0199999999999996,0.27600000000000002
102年,2013,4.08,0.28799999999999998,3.95,0.27300000000000002
103年,2014,3.98,0.28199999999999997,3.91,0.27100000000000002
104年,2015,3.91,0.27900000000000003,3.87,0.27
105年,2016,3.89,0.27800000000000002,3.83,0.26800000000000002
106年,2017,3.89,0.27700000000000002,3.88,0.27
107年,2018,3.9,0.27800000000000002,3.86,0.27
108年,2019,3.9,0.27600000000000002,3.9,0.26900000000000002
109年,2020,3.84,0.27400000000000002,3.84,0.26700000000000002
110年,2021,3.91,0.27700000000000002,3.94,0.27100000000000002
111年,2022,3.93,0.27900000000000003,3.95,0.27400000000000002
112年,2023,3.81,0.27200000000000002,3.85,0.26600000000000001
113年,2024,3.92,0.27700000000000002,3.92,0.27
114年,2025,3.73,0.27200000000000002,3.85,0.26600000000000001
,,,,,
附註：本表係以每戶可支配所得除以戶量（或戶量開根號）重新排序後，按人數計算。,,,,,
Note：The table is calculated as the ratio of per capita income of fifth quintile to per capita income of first quintile.All the population ranked in ascending order of per capita income is divided into five quintiles.Per capita income is calculated as household income divided by household size (or the square root of household size).,,,,,
