第28表家庭戶數按戶內人口規模別之分配,,,,,,,,,,,
Table 28. Percent Distribution by Size of Household,,,,,,,,,,,
單位：%,,,,,,,,,,,
Unit：%,,,,,,,,,,,
年別,合計,1人,2人,3人,4人,5人,6人,7人,8人,9人及以上,
Year,Total,1 person,2 persons,3 persons,4 persons,5 persons,6 persons,7 persons,8 persons,9 or more persons,
59年,1970,100,2.5499999999999998,4.75,8.4,12.66,18.13,19.43,14.58,8.3800000000000008,11.12
61年,1972,100,3.33,4.1500000000000004,9.2799999999999994,13.73,21.23,19.260000000000002,12.57,7.62,8.83
63年,1974,100,3.18,5,9.07,17.39,23.02,18.77,10.54,6.26,6.77
65年,1976,100,3.17,5.44,9.52,17.7,22.79,18.760000000000002,10.79,5.67,6.16
67年,1978,100,3.77,6.44,11.7,20.27,24.02,16.79,8.56,4.12,4.33
68年,1979,100,3.92,7.46,11.87,19.82,23.25,16.7,8.76,4.08,4.1399999999999997
69年,1980,100,3.87,7.28,12.51,20.02,23.25,16.46,8.5399999999999991,3.92,4.1500000000000004
70年,1981,100,3.74,7.26,12.4,21.37,24.46,15.61,7.48,3.72,3.96
71年,1982,100,4.76,7.84,12.96,20.96,22.93,15.13,7.69,3.66,4.07
72年,1983,100,4.0999999999999996,7.96,12.67,21.55,24.22,15.42,7.19,3.25,3.64
73年,1984,100,4.38,8.1999999999999993,12.63,22.62,23.25,14.68,7.11,3.49,3.64
74年,1985,100,4.66,8.6999999999999993,13.23,22.85,23.54,14.2,6.51,3.18,3.14
75年,1986,100,5.05,9.42,12.88,23.64,22.88,13.78,6.5,3.08,2.77
76年,1987,100,5.58,9.6999999999999993,14.13,23.72,23.36,12.47,6.14,2.4500000000000002,2.4500000000000002
77年,1988,100,5.98,10.91,14,25.69,22.58,11.44,5.28,2.16,1.96
78年,1989,100,5.82,11.44,14.59,25.36,22.29,11.52,5.32,1.89,1.77
79年,1990,100,6.47,11.59,15.22,25.69,21.65,10.84,4.62,2.0499999999999998,1.87
80年,1991,100,5.82,12.34,15.38,26.29,21.5,10.56,4.8099999999999996,1.72,1.58
81年,1992,100,6.56,12.39,15.49,27.16,20.67,10.09,4.3899999999999997,1.78,1.47
82年,1993,100,6.69,12.66,15.47,26.89,20.55,10,4.47,1.65,1.62
83年,1994,100,6.99,13.87,15.17,27.56,20.22,9.23,3.92,1.54,1.5
84年,1995,100,7.68,14.7,15.97,26.46,19.7,8.9499999999999993,4.0199999999999996,1.3,1.23
85年,1996,100,7.96,14.48,15.98,27.11,19.41,8.6,3.97,1.3,1.19
86年,1997,100,8.86,15.6,16.39,26.15,18.760000000000002,8.09,3.61,1.35,1.19
87年,1998,100,9.6300000000000008,15.85,16.57,27.04,17.7,7.53,3.49,1.1399999999999999,1.06
88年,1999,100,10.6,18.07,17.190000000000001,25.62,16.690000000000001,7.17,2.75,1.1200000000000001,0.78
89年,2000,100,10.82,18.3,17.18,26.12,16.079999999999998,6.71,2.7,1.25,0.84
90年,2001,100,10.73,19.059999999999999,17.48,25.68,15.64,6.8,2.93,0.9,0.78
91年,2002,100,8.51,18.96,18.64,26.88,15.42,6.91,2.81,1.0900000000000001,0.78
92年,2003,100,9.26,20.45,19.84,25.82,14.35,6.44,2.41,0.78,0.65
93年,2004,100,9.94,20.22,19.510000000000002,26.03,14.65,6.04,2.35,0.72,0.54
94年,2005,100,9.92,22.72,19.2,25.42,14,5.58,2.0499999999999998,0.65,0.45
95年,2006,99.999999999999986,10.54,21.67,20.71,25,13.35,5.35,2.2799999999999998,0.61,0.49
96年,2007,99.999999999999986,9.6,23.04,21.18,24.71,13.32,5.38,1.84,0.57999999999999996,0.35
97年,2008,100.00000000000001,10.76,22.73,21.09,24.83,12.18,5.26,2,0.67,0.48
98年,2009,100,10.54,23.8,20.87,24.35,12.09,5.23,2,0.63,0.49
99年,2010,100,11.21,24.29,21.71,24.49,11.49,4.3,1.78,0.42,0.31
100年,2011,100.00000000000001,10.119999999999999,25.28,21.93,23.48,11.4,4.71,2,0.68,0.4
101年,2012,100,11.01,25.66,22.8,22.33,10.78,4.76,1.86,0.48,0.32
102年,2013,100,11.08,25.69,23.33,22.13,10.67,4.55,1.73,0.47,0.35
103年,2014,99.999999999999986,11.85,26.95,22.42,22.06,10.050000000000001,4.5199999999999996,1.52,0.38,0.25
104年,2015,99.999999999999986,11.82,28.61,22.92,20.95,9.23,4.2699999999999996,1.49,0.35,0.36
105年,2016,100,12.09,28.92,23.09,21.23,8.6199999999999992,3.71,1.75,0.34,0.27
106年,2017,100,12.11,28.65,22.95,21.38,9.1300000000000008,3.92,1.36,0.28999999999999998,0.21
107年,2018,100,12.81,28.85,23.06,20.8,8.39,4.09,1.22,0.47,0.28999999999999998
108年,2019,100,12.26,30.14,23.49,20.38,8.25,3.55,1.27,0.4,0.27
109年,2020,100,14.37,30.98,23.06,19.13,7.28,3.44,1.18,0.34,0.21
110年,2021,100,13.95,32.130000000000003,23.78,18.61,6.87,3.09,1.1499999999999999,0.24,0.18
111年,2022,100,15.15,32.22,23.9,18.28,6.42,2.78,0.91,0.18,0.16
112年,2023,100,15.4,33.520000000000003,24,17,6.06,2.88,0.8,0.26,0.09
113年,2024,100,15.62,33.549999999999997,23.68,17.079999999999998,6.12,2.76,0.81,0.24,0.14000000000000001
114年,2025,100,17.329999999999998,34.270000000000003,23.21,16.63,5.53,2.12,0.67,0.16,0.07
