第29表就業者平均每人基本所得按職業別分,,,,,
Table 29. Average Primary Income per Employed Person by Occupation,,,,,
,,,,,
,69年,114年,基本所得增加倍數,,
1980,2025,,,,
,金  額(元),人數分配(%),金  額(元),人數分配(%),Rate of primaryincome growth
Amount(NT$)(A),Percentage distribution(%),Amount(NT$)(B),Percentage distribution(%),(B/A)-1,
全體就業者：All employed persons,127531,100,738411,100,4.79
"1.民意代表、主管及經理人員Legislators, Senior Officialsand Managers",278074,3.42,1696486,4.21,5.0999999999999996
2.專業人員Professionals,202367,7.17,1094645,13.38,4.41
3.技術員及助理專業人員Technicians and AssociateProfessionals,150468,16.11,869269,18.61,4.78
4.事務支援人員Clerical Support Workers,160203,10.5,585004,12.62,2.65
5.服務及銷售工作人員Service and Sales Workers,118949,5.95,568970,19.690000000000001,3.78
"6.農林漁牧業生產人員Skilled Agricultural,Forestry and FisheryWorkers",72748,19.239999999999998,352213,3.88,3.84
"7.技藝有關工作人員、機械設備操作及組裝人員、基層技術工及勞力工Craft and Related TradesWorkers,Plant and MachineOperators and Assemblers,Elementary Labourers",110054,37.61,576684,27.62,4.24
附註：1.基本所得包括受僱人員報酬及產業主所得。,,,,,
2.本表不含達就業標準之無酬家屬，另現役軍人併入技術員及助理專業人員統計。,,,,,
Note：1.The Primary income includes compensation of employees and entrepreneurial income.,,,,,
"2.The table doesn’t include unpaid family workers, andsoldiers are included in technicians and associate professionals.",,,,,
