第13表平均每戶及每位所得收入者之可支配所得按性別分,,,,,,,
Table 13. Average Disposable Income per Household by Sex of Households Headsand Average Disposable Income of Income Recipients by Sex,,,,,,,
單位：元,,,,,,,
Unit：NT$,,,,,,,
,平均每戶可支配所得,平均每位所得收入者,,,,,
年別,(按經濟戶長性別分),Average Disposable Income ofincome recipients,,,,,
,Average Disposable Income per Householdby sex of Households Heads,,,,,,
,合計,男,女,合計,男,女,
Year,Total,Male,Female,Total,Male,Female,
65年,1976,116297,116799,108063,68765,78680,40775
66年,1977,130830,131621,117971,76038,88148,44198
67年,1978,155737,156818,139701,90826,104971,55019
68年,1979,188407,190684,156727,107841,125714,64730
69年,1980,233112,236383,189103,133027,156424,79164
70年,1981,266439,269777,224599,150267,175737,93829
71年,1982,275250,280259,222634,155277,181219,98363
72年,1983,295887,300451,247901,165776,194052,105879
73年,1984,314245,320198,256311,177385,206461,114893
74年,1985,320492,327168,257701,183044,212290,120596
75年,1986,341728,349135,277920,190292,222635,125800
76年,1987,366487,376546,280358,208190,242163,137733
77年,1988,410483,420552,326153,237371,273940,161901
78年,1989,464994,475694,377944,269365,310235,185777
79年,1990,520147,534896,407757,298403,342963,208110
80年,1991,587242,601501,481884,340356,389773,242569
81年,1992,639696,660255,493192,371869,426969,264924
82年,1993,727879,752078,565547,415371,474418,301076
83年,1994,769755,797902,590984,439579,503473,320960
84年,1995,811338,840233,636785,457760,518489,342467
85年,1996,826378,857097,651492,460195,522181,349680
86年,1997,863427,897685,675156,481404,540588,373415
87年,1998,873175,904312,714120,491634,546787,391014
88年,1999,889053,930566,708048,505026,565413,401521
89年,2000,891445,934581,708128,507371,563944,410406
90年,2001,868651,916428,672805,500141,558034,402801
91年,2002,875919,917472,713784,496969,551842,406925
92年,2003,881662,924392,722586,502996,556247,415845
93年,2004,891249,934968,732659,510095,565482,421512
94年,2005,894574,936017,743338,513477,568403,424122
95年,2006,913092,967528,731547,517942,578142,425670
96年,2007,923874,972525,762987,521714,580712,430339
97年,2008,913687,967344,755068,516765,576744,429788
98年,2009,887605,946636,722483,502611,561289,417522
99年,2010,889353,938699,750878,515256,572165,431195
100年,2011,907988,962030,759628,507038,566621,422846
101年,2012,923584,983201,770348,515897,572423,437435
102年,2013,942208,998332,796578,516206,575000,435552
103年,2014,956849,1020900,791536,524893,587968,437868
104年,2015,964895,1029472,808018,525285,583380,447071
105年,2016,993115,1057791,840070,532864,594336,451563
106年,2017,1018941,1094010,836497,544937,612218,456238
107年,2018,1036304,1110366,857325,547731,618679,454363
108年,2019,1059731,1136656,877261,557634,627848,468597
109年,2020,1079648,1162153,895842,571518,641754,482753
110年,2021,1090554,1184740,879564,568169,648382,468938
111年,2022,1108569,1197634,917842,585061,666359,485224
112年,2023,1136708,1235294,936772,588319,662894,500292
113年,2024,1165206,1260911,968812,605889,682775,515690
114年,2025,1210367,1308512,1021118,636558,714825,547481
