第12表戶數五等分位組之平均每戶儲蓄,,,,,,,
Table 12. Average Savings per Household by Disposable Income Quintile,,,,,,,
單位：元,,,,,,,
Unit：NT$,,,,,,,
,全體家庭平均,可支配所得按戶數五等分位組,,,,,
年別,Disposable income quintile,,,,,,
Year,Average savings per household,1,2,3,4,5,
,最低所得組,Second,Third,Fourth,最高所得組,,
,Lowest 20%,0.2,0.2,0.2,Highest 20%,,
70年,1981,66910,11933,28427,44247,73459,176483
71年,1982,64344,9468,24714,40685,69835,177019
72年,1983,69653,8421,26299,43387,77048,193109
73年,1984,70461,6490,26216,46501,77771,195324
74年,1985,74223,7122,28305,47296,81129,207263
75年,1986,83254,9179,29726,52780,90392,234193
76年,1987,91382,13605,36617,60399,98097,248193
77年,1988,108276,13159,41368,69910,120716,296226
78年,1989,128120,15391,50783,87154,144180,343090
79年,1990,149824,15750,56824,100817,172861,402868
80年,1991,175482,25611,65794,117499,198694,469810
81年,1992,194476,24130,71882,128027,224533,523809
82年,1993,223747,20627,82613,151915,262258,601320
83年,1994,223768,25181,79809,147453,267546,598851
84年,1995,220303,25307,73759,137276,263094,602083
85年,1996,211943,13216,72963,133085,244207,596242
86年,1997,228951,19994,70245,141247,256068,657199
87年,1998,226831,21976,64267,132630,250840,664443
88年,1999,233770,26735,76305,139931,254371,671511
89年,2000,228723,14733,68572,143820,262601,653888
90年,2001,210779,-4516,44315,110623,220922,682548
91年,2002,203300,-10302,37871,96355,201210,691365
92年,2003,215290,1652,54328,94783,218342,707347
93年,2004,198600,1829,42208,97299,204757,646909
94年,2005,193497,-1948,39360,90494,181829,657753
95年,2006,200068,183,40032,92770,213067,654288
96年,2007,207780,-1164,40711,99720,201380,698251
97年,2008,208274,-5902,42149,108525,218837,677760
98年,2009,181925,-30697,24453,97023,192454,626394
99年,2010,187061,-20525,34295,92720,205324,623492
100年,2011,178978,-29308,24819,91114,207512,600753
101年,2012,195891,-25795,34891,109353,213457,647550
102年,2013,194286,-21932,37575,108262,209603,637921
103年,2014,201680,-19285,44233,117467,217587,648398
104年,2015,205248,-19224,43139,113271,218388,670669
105年,2016,216304,-18384,57710,113615,222218,706361
106年,2017,207271,-18351,43342,111558,212911,686895
107年,2018,224945,-18221,43261,111790,236650,751245
108年,2019,230532,-18190,51760,122152,252334,744604
109年,2020,264548,-17569,70716,144128,295418,830049
110年,2021,275112,-17465,71736,151439,305733,864115
111年,2022,274032,-17334,66935,153616,297386,869559
112年,2023,275402,-16626,59947,154885,300453,878352
113年,2024,276507,-18214,55971,152986,306654,885139
114年,2025,289970,-17703,58272,159875,324442,924967
114年儲蓄率(%),,,,,,,
Savings rate,23.96,--,8.02,15.32,22.6,37.76,
