第3表戶數五等分位組之平均每戶可支配所得,,,,,,,
Table 3. Average Disposable Income per Household by Disposable Income Quintile,,,,,,,
單位：元,,,,,,,
Unit：NT$,,,,,,,
,全體家庭平均,可支配所得按戶數五等分位組,,,,,
年別,Average disposable income per household of each fifth,,,,,,
,Average disposable income per household,1,2,3,4,5,
Year,最低所得組,,,,最高所得組,,
,Lowest 20%,Second 20%,Third 20%,Fourth 20%,Highest 20%,,
53年,1964,28591,11022,17969,23759,31493,58712
57年,1968,38514,15097,23532,31293,42982,79666
59年,1970,44486,18773,29516,38013,50069,86058
61年,1972,57510,24729,38100,49056,64641,111023
63年,1974,92813,41048,62589,78886,102268,179295
65年,1976,116297,51754,79335,101676,132056,216666
66年,1977,130830,58596,88199,113253,147637,246465
67年,1978,155737,69221,106762,136514,176742,289447
68年,1979,188407,81390,128869,164640,213627,353510
69年,1980,233112,102772,161965,206359,265552,428911
70年,1981,266439,117224,183360,234699,303530,493382
71年,1982,275250,119603,189876,241666,312289,512814
72年,1983,295887,127440,201812,258505,336226,555450
73年,1984,314245,133434,215118,276900,358783,586988
74年,1985,320492,134105,217705,280779,366676,603196
75年,1986,341728,141750,230893,297011,386991,651995
76年,1987,366487,148553,247423,321168,418237,697051
77年,1988,410483,161874,275655,360257,469525,785101
78年,1989,464994,179029,313864,411978,536296,883807
79年,1990,520147,193685,343785,455426,603914,1003925
80年,1991,587242,227816,389205,511410,674451,1133327
81年,1992,639696,235752,423392,560466,742466,1236407
82年,1993,727879,259380,477408,642257,853213,1407138
83年,1994,769755,280259,499105,669983,892016,1507414
84年,1995,811338,296166,525749,704713,948484,1581581
85年,1996,826378,298443,537241,723067,966103,1607034
86年,1997,863427,312458,557429,753919,1003815,1689517
87年,1998,873175,310865,560766,765375,1014770,1714097
88年,1999,889053,317001,573853,778496,1031669,1744245
89年,2000,891445,315172,571355,778556,1043508,1748633
90年,2001,868651,279404,524766,740054,1013478,1785550
91年,2002,875919,292113,538584,743888,1005274,1799733
92年,2003,881662,296297,545465,745231,1021325,1799992
93年,2004,891249,297305,555452,775719,1035972,1791796
94年,2005,894574,297694,556117,779044,1043131,1796884
95年,2006,913092,304274,564865,795427,1073507,1827387
96年,2007,923874,312145,571128,799418,1069885,1866791
97年,2008,913687,303517,564893,796225,1068804,1834994
98年,2009,887605,282260,544532,771572,1049242,1790418
99年,2010,889353,288553,542741,773468,1054693,1787312
100年,2011,907988,296352,546903,786324,1083008,1827354
101年,2012,923584,301362,566814,810075,1093553,1846116
102年,2013,942208,309459,583287,823937,1111674,1882680
103年,2014,956849,317144,587625,830741,1128799,1919937
104年,2015,964895,320312,587763,836842,1139842,1939718
105年,2016,993115,329400,616604,861413,1153992,2004165
106年,2017,1018941,338278,627855,884183,1191537,2052850
107年,2018,1036304,344948,637775,888498,1211270,2099030
108年,2019,1059731,350189,645272,911571,1253751,2137871
109年,2020,1079648,354959,657313,929551,1280022,2176394
110年,2021,1090554,358594,662440,935016,1291029,2205691
111年,2022,1108569,364876,672906,954383,1306283,2244401
112年,2023,1136708,375828,687207,976721,1341995,2301788
113年,2024,1165206,383927,701178,1001276,1382254,2357393
114年,2025,1210367,397191,726390,1043274,1435638,2449344
114年年增率(%),,,,,,,
Changes in percentage,3.8757953529247269,3.4548234429982783,3.595663298049856,4.194447884499386,3.8620977041846194,3.9005375853750301,
2024-2025,,,,,,,
