第11表戶數五等分位組之平均每戶消費支出,,,,,,,
Table 11. Average Consumption Expenditure per Householdby Disposable Income Quintile,,,,,,,
單位：元,,,,,,,
Unit：NT$,,,,,,,
,全體家庭平均,可支配所得按戶數五等分位組,,,,,
年別,Average consumption expenditure per household,Disposable income quintile,,,,,
,1,2,3,4,5,,
Year,最低所得組,Second,Third,Fourth,最高所得組,,
,Lowest 20%,0.2,0.2,0.2,Highest 20%,,
70年,1981,199523,105289,154917,190436,230071,316899
71年,1982,210906,110135,165162,200982,242454,335795
72年,1983,226234,119019,175513,215119,259178,362341
73年,1984,243784,126944,188902,230398,281013,391664
74年,1985,246277,126983,189401,233474,285547,395978
75年,1986,258474,132570,201167,244231,296599,417802
76年,1987,275104,134947,210806,260769,320141,448858
77年,1988,302207,148715,234287,290347,348808,488875
78年,1989,336875,163638,263081,324823,392116,540717
79年,1990,370323,177935,286960,354609,431053,601057
80年,1991,411760,202205,323411,393912,475757,663517
81年,1992,445220,211622,351509,432439,517933,712598
82年,1993,504133,238753,394795,490342,590955,805817
83年,1994,545987,255078,419297,522530,624470,908563
84年,1995,591035,270859,451990,567437,685390,979498
85年,1996,614435,285227,464278,589982,721896,1010792
86年,1997,634477,292464,487183,612672,747747,1032317
87年,1998,646343,288889,496500,632744,763930,1049654
88年,1999,655282,290266,497548,638566,777298,1072735
89年,2000,662722,300440,502783,634736,780907,1094744
90年,2001,657872,283920,480451,629430,792556,1103002
91年,2002,672619,302415,500714,647533,804065,1108368
92年,2003,666372,294645,491137,650448,802983,1092645
93年,2004,692648,295476,513243,678420,831215,1144888
94年,2005,701076,299642,516758,688550,861302,1139131
95年,2006,713024,304091,524833,702656,860439,1173099
96年,2007,716094,313309,530417,699698,868505,1168540
97年,2008,705413,309419,522744,687699,849967,1157234
98年,2009,705680,312957,520079,674549,856788,1164025
99年,2010,702292,309078,508446,680747,849369,1163820
100年,2011,729010,325660,522084,695209,875496,1226601
101年,2012,727693,327157,531922,700722,880096,1198566
102年,2013,747922,331391,545713,715675,902072,1244759
103年,2014,755169,336429,543391,713274,911211,1271539
104年,2015,759647,339536,544624,723571,921454,1269049
105年,2016,776811,347785,558894,747798,931774,1297803
106年,2017,811670,356629,584512,772625,978626,1365955
107年,2018,811359,363169,594513,776708,974620,1347785
108年,2019,829199,368379,593512,789419,1001417,1393267
109年,2020,815100,372529,586597,785424,984604,1346345
110年,2021,815442,376058,590705,783577,985296,1341575
111年,2022,834537,382209,605971,800767,1008897,1374842
112年,2023,861305,392454,627259,821836,1041542,1423435
113年,2024,888699,402142,645207,848290,1075600,1472254
114年,2025,920397,414894,668118,883399,1111196,1524378
114年消費率(%),,,,,,,
Consumption expenditure rate,76.040000000000006,104.46,91.98,84.68,77.400000000000006,62.24,
