第4表戶數五等分位組之所得分配比與所得差距,,,,,,,,
Table 4. Percentage Share of Disposable Income by Quintile Group ofHouseholds and Income Inequality Indices,,,,,,,,
,,,,,,,,
年別,可支配所得按戶數五等分位組之所得分配比(%),第五分位組為第一分位組之倍數(倍),吉尼係數,,,,,
Percent distribution of disposable income by quintile of households,,,,,,,,
Year,1,2,3,4,5,Ratio of income share of highest 20% to that of lowest 20%,Gini's concentration coefficient,
,最低所得組,,,,最高所得組,,,
,Lowest 20%,Second 20%,Third 20%,Fourth 20%,Highest 20%,,,
53年,1964,7.71,12.57,16.62,22.03,41.07,5.33,0.32100000000000001
57年,1968,7.84,12.22,16.25,22.32,41.37,5.28,0.32600000000000001
59年,1970,8.44,13.27,17.09,22.51,38.69,4.58,0.29399999999999998
61年,1972,8.6,13.25,17.059999999999999,22.48,38.61,4.49,0.29099999999999998
63年,1974,8.84,13.49,16.989999999999998,22.05,38.630000000000003,4.37,0.28699999999999998
65年,1976,8.91,13.64,17.48,22.71,37.26,4.18,0.28000000000000003
66年,1977,8.9600000000000009,13.48,17.309999999999999,22.57,37.68,4.21,0.28399999999999997
67年,1978,8.89,13.71,17.53,22.7,37.17,4.18,0.28699999999999998
68年,1979,8.64,13.68,17.48,22.68,37.520000000000003,4.34,0.28499999999999998
69年,1980,8.82,13.9,17.7,22.78,36.799999999999997,4.17,0.27800000000000002
70年,1981,8.8000000000000007,13.76,17.62,22.78,37.04,4.21,0.28100000000000003
71年,1982,8.69,13.8,17.559999999999999,22.69,37.26,4.29,0.28299999999999997
72年,1983,8.61,13.64,17.47,22.73,37.54,4.3600000000000003,0.28699999999999998
73年,1984,8.49,13.69,17.62,22.83,37.36,4.4000000000000004,0.28699999999999998
74年,1985,8.3699999999999992,13.59,17.52,22.88,37.64,4.5,0.29099999999999998
75年,1986,8.3000000000000007,13.51,17.38,22.65,38.159999999999997,4.5999999999999996,0.29599999999999999
76年,1987,8.11,13.5,17.53,22.82,38.04,4.6900000000000004,0.29899999999999999
77年,1988,7.89,13.43,17.55,22.88,38.25,4.8499999999999996,0.30299999999999999
78年,1989,7.7,13.5,17.72,23.07,38.01,4.9400000000000004,0.30299999999999999
79年,1990,7.45,13.22,17.510000000000002,23.22,38.6,5.18,0.312
80年,1991,7.76,13.26,17.420000000000002,22.97,38.6,4.97,0.308
81年,1992,7.37,13.24,17.52,23.21,38.659999999999997,5.24,0.312
82年,1993,7.13,13.12,17.649999999999999,23.44,38.659999999999997,5.43,0.315
83年,1994,7.28,12.97,17.41,23.18,39.17,5.38,0.318
84年,1995,7.3,12.96,17.37,23.38,38.99,5.34,0.317
85年,1996,7.22,13,17.5,23.38,38.89,5.38,0.317
86年,1997,7.24,12.91,17.46,23.25,39.14,5.41,0.32
87年,1998,7.12,12.84,17.53,23.24,39.26,5.51,0.32400000000000001
88年,1999,7.13,12.91,17.510000000000002,23.21,39.24,5.5,0.32500000000000001
89年,2000,7.07,12.82,17.47,23.41,39.229999999999997,5.55,0.32600000000000001
90年,2001,6.43,12.08,17.04,23.33,41.11,6.39,0.35
91年,2002,6.67,12.3,16.989999999999998,22.95,41.09,6.16,0.34499999999999997
92年,2003,6.72,12.37,16.91,23.17,40.83,6.07,0.34300000000000003
93年,2004,6.67,12.46,17.41,23.25,40.21,6.03,0.33800000000000002
94年,2005,6.66,12.43,17.420000000000002,23.32,40.17,6.04,0.34
95年,2006,6.66,12.37,17.420000000000002,23.51,40.03,6.01,0.33900000000000002
96年,2007,6.76,12.36,17.309999999999999,23.16,40.409999999999997,5.98,0.34
97年,2008,6.64,12.37,17.43,23.4,40.17,6.05,0.34100000000000003
98年,2009,6.36,12.27,17.39,23.64,40.340000000000003,6.34,0.34499999999999997
99年,2010,6.49,12.21,17.39,23.72,40.19,6.19,0.34200000000000003
100年,2011,6.53,12.05,17.32,23.86,40.25,6.17,0.34200000000000003
101年,2012,6.53,12.27,17.54,23.68,39.979999999999997,6.13,0.33800000000000002
102年,2013,6.57,12.38,17.489999999999998,23.6,39.96,6.08,0.33600000000000002
103年,2014,6.63,12.28,17.36,23.59,40.130000000000003,6.05,0.33600000000000002
104年,2015,6.64,12.18,17.350000000000001,23.63,40.21,6.06,0.33800000000000002
105年,2016,6.63,12.42,17.350000000000001,23.24,40.36,6.08,0.33600000000000002
106年,2017,6.64,12.32,17.350000000000001,23.39,40.29,6.07,0.33700000000000002
107年,2018,6.66,12.31,17.149999999999999,23.38,40.51,6.09,0.33800000000000002
108年,2019,6.61,12.18,17.2,23.66,40.35,6.1,0.33900000000000002
109年,2020,6.58,12.18,17.22,23.71,40.32,6.13,0.34
110年,2021,6.58,12.15,17.149999999999999,23.68,40.450000000000003,6.15,0.34100000000000003
111年,2022,6.58,12.14,17.22,23.57,40.49,6.15,0.34200000000000003
112年,2023,6.61,12.09,17.190000000000001,23.61,40.5,6.12,0.33900000000000002
113年,2024,6.59,12.04,17.190000000000001,23.73,40.46,6.14,0.34100000000000003
114年,2025,6.56,12,17.239999999999998,23.72,40.47,6.17,0.34100000000000003
