第22表所得收入者之基本所得及人數按縣內、縣外工作地點分,,,,,,,,,
Table 22. Percentage Share of Primary Income and Number of IncomeRecipients of Taiwan Area by Place of Work,,,,,,,,,
民國114年,2025,,,,,,,,
,基本所得(億元),基本所得分配比(%),所得收入者人數（人）,所得收入者人數分配比(%),,,,,
Percent distribution of primary income by place of work,Percent distribution of income recipients by place of work,,,,,,,,
就業者,無業者,就業者,無業者,,,,,,
Primaryincome(NT$100 million),Employed persons,From non-working,Number ofincomerecipients(person),Employed persons,From non-working,,,,
工作地點本縣市,工作地點外縣市,工作地點本縣市,工作地點外縣市,,,,,,
Earned from the city,Earned from other cities,Earned from the city,Earned from other cities,,,,,,
全體所得收入者,All Income Recipient,93879,80.099999999999994,15.19,4.71,17419907,61.3,8.59,30.11
新北市,New Taipei City,17691,63.09,33.54,3.37,3340765,47.01,20.190000000000001,32.799999999999997
臺北市,Taipei City,13293,82.44,12.31,5.25,2125201,55.3,6.86,37.83
桃園市,Taoyuan City,10236,83.85,13.07,3.08,1798723,67.25,7.54,25.21
臺中市,Taichung City,11005,91.77,2.97,5.26,2033905,69.900000000000006,1.68,28.42
臺南市,Tainan City,6494,90.41,3.61,5.98,1342906,73.19,2.0699999999999998,24.74
高雄市,Kaohsiung City,11853,90.81,4.03,5.16,2194441,72.45,2.25,25.3
宜蘭縣,Yilan County,1403,89.99,5.89,4.12,326687,65.319999999999993,3.35,31.33
新竹縣,Hsinchu County,3709,49.99,46.83,3.18,418545,48.54,24.93,26.53
苗栗縣,Miaoli County,1979,79.59,15.17,5.24,383823,58.52,8.84,32.64
彰化縣,Changhua County,3149,86.11,9.48,4.4000000000000004,710177,65.63,5.29,29.09
南投縣,Nantou County,1212,80.08,10.96,8.9600000000000009,312930,58.53,7.05,34.43
雲林縣,Yunlin County,1686,94.5,3.32,2.1800000000000002,403783,73.13,2.1,24.78
嘉義縣,Chiayi County,1122,74.5,15,10.5,311903,56.96,7.95,35.08
屏東縣,Pingtung County,2301,79.180000000000007,12.14,8.68,516928,62.7,8.23,29.07
臺東縣,Taitung County,541,91.15,0.78,8.06,128014,68.010000000000005,0.24,31.75
花蓮縣,Hualien County,859,92.09,0,7.91,200374,62.72,0,37.28
澎湖縣,Penghu County,294,90.05,0.38,9.57,69040,61.77,0.33,37.9
基隆市,Keelung City,1194,49.32,45.4,5.28,266380,33.979999999999997,28.47,37.549999999999997
新竹市,Hsinchu City,2817,81.650000000000006,16.29,2.0699999999999998,348792,57.47,11.06,31.47
嘉義市,Chiayi City,1039,67.25,23.97,8.7899999999999991,186589,50.47,15.6,33.92
附註：因部分縣市於99年底合併升格為直轄市，故本表全體所得收入者、臺中市、臺南市、高雄市按,,,,,,,,,
縣內縣外工作地點分類之就業者基本所得及人數分配比，不宜與以前年度比較。,,,,,,,,,
"Note：Due to some cities and counties becoming municipalities at the end of 2010, the figures classified according to working place,",,,,,,,,,
"including all income recipient, Taichung City, Tainan City, and Kaohsiung City, are not comparable with prior year.",,,,,,,,,
