第17表所得收入者五等分位組之可支配所得分配比與所得差距,,,,,,,,
Table 17. Percentage Share of Disposable Income by Quintile Groups ofIncome Recipients and Measures of Income Distribution,,,,,,,,
,,,,,,,,
,可支配所得按人數五等分位組之所得分配比(%),第五分位組為第一分位組之倍數(倍),吉尼係數,,,,,
年別,Percent distribution of disposable incomeby quintile of income recipients (%),,,,,,,
Year,1,2,3,4,5,Ratio of income share of highest 20% to that of lowest 20%,Gini's concentration coefficient,
,Lowest 20%,Second 20%,Third 20%,Fourth 20%,Highest 20%,,,
68年,1979,5.58,11.34,17.010000000000002,24.2,41.87,7.51,0.36599999999999999
69年,1980,5.52,11.34,17.16,24.57,41.42,7.51,0.36299999999999999
70年,1981,5.69,11.53,17.420000000000002,24.84,40.520000000000003,7.12,0.35399999999999998
71年,1982,5.84,11.51,17.34,24.62,40.69,6.97,0.35399999999999998
72年,1983,5.69,11.57,17.29,24.39,41.07,7.22,0.35699999999999998
73年,1984,6.21,11.79,17.21,24.05,40.74,6.56,0.34799999999999998
74年,1985,6.33,11.85,17.34,24.05,40.43,6.39,0.34399999999999997
75年,1986,6.24,11.84,17.260000000000002,23.71,40.94,6.56,0.34899999999999998
76年,1987,6.51,12.09,17.21,23.66,40.53,6.22,0.34399999999999997
77年,1988,6.47,12,17.34,23.67,40.53,6.27,0.34499999999999997
78年,1989,6.39,12.14,17.309999999999999,23.87,40.28,6.3,0.34300000000000003
79年,1990,6.26,12.22,17.440000000000001,23.88,40.200000000000003,6.42,0.34399999999999997
80年,1991,6.39,12.2,17.3,23.77,40.35,6.32,0.34399999999999997
81年,1992,6.5,12.23,17.399999999999999,23.8,40.07,6.17,0.34
82年,1993,6.64,12.12,17.170000000000002,23.52,40.549999999999997,6.1,0.34200000000000003
83年,1994,6.71,12.15,17.149999999999999,23.31,40.68,6.06,0.34200000000000003
84年,1995,7.13,12.32,17.02,22.94,40.590000000000003,5.69,0.33600000000000002
85年,1996,7.09,12.27,16.97,23.13,40.549999999999997,5.72,0.33700000000000002
86年,1997,7.29,12.35,16.920000000000002,22.91,40.53,5.56,0.33500000000000002
87年,1998,7.39,12.4,16.760000000000002,22.81,40.630000000000003,5.49,0.33600000000000002
88年,1999,7.36,12.52,16.91,22.79,40.42,5.49,0.33300000000000002
89年,2000,7.47,12.71,16.91,22.9,40.01,5.36,0.33
90年,2001,6.99,11.97,16.38,22.67,42,6.01,0.35399999999999998
91年,2002,7.13,12.11,16.43,22.5,41.83,5.87,0.34899999999999998
92年,2003,7.29,12.29,16.52,22.56,41.35,5.67,0.34399999999999997
93年,2004,7.28,12.22,16.61,22.66,41.22,5.66,0.34300000000000003
94年,2005,7.35,12.4,16.57,22.6,41.08,5.59,0.34200000000000003
95年,2006,7.26,12.26,16.61,22.87,41,5.65,0.34399999999999997
96年,2007,7.29,12.35,16.54,22.63,41.19,5.65,0.34300000000000003
97年,2008,7.43,12.12,16.239999999999998,22.63,41.58,5.6,0.34699999999999998
98年,2009,7.21,12.14,16.420000000000002,22.63,41.6,5.77,0.34799999999999998
99年,2010,7.31,12.22,16.510000000000002,22.75,41.2,5.64,0.34200000000000003
100年,2011,7.23,12.19,16.34,22.54,41.7,5.77,0.34399999999999997
101年,2012,7.56,12.37,16.5,22.5,41.07,5.43,0.33500000000000002
102年,2013,7.52,12.33,16.34,22.36,41.46,5.52,0.33900000000000002
103年,2014,7.48,12.27,16.29,22.32,41.63,5.56,0.34
104年,2015,7.41,12.41,16.47,22.38,41.33,5.58,0.33700000000000002
105年,2016,7.3,12.35,16.48,22.48,41.39,5.67,0.33900000000000002
106年,2017,7.46,12.39,16.23,22.13,41.8,5.61,0.34100000000000003
107年,2018,7.05,12.26,16.3,22.34,42.04,5.96,0.34699999999999998
108年,2019,7.26,12.38,16.36,22.34,41.65,5.74,0.34100000000000003
109年,2020,7.16,12.37,16.440000000000001,22.28,41.74,5.83,0.34300000000000003
110年,2021,6.65,12.2,16.45,22.41,42.3,6.36,0.35299999999999998
111年,2022,6.83,12.02,16.329999999999998,22.39,42.42,6.21,0.35399999999999998
112年,2023,7.38,12.33,16.190000000000001,22.08,42.02,5.7,0.34200000000000003
113年,2024,6.97,12.26,16.55,22.33,41.89,6.01,0.34599999999999997
114年,2025,7.24,12.24,16.38,22.18,41.96,5.8,0.34399999999999997
