第21表所得收入者平均每人可支配所得及中位數所得按教育程度別分,,,,,,
Table 21. Mean and Median Disposable Income ofIncomeRecipients by Educational Attainment,,,,,,
,,,,,,
,所得收入者平均每人可支配所得,所得收入者中位數可支配所得,,,,
Mean disposable income,Median disposable income,,,,,
金額(元),年增率,金額(元),年增率,,,
Value (NT$),(%),Value (NT$),(%),,,
113年,114年,Change,113年,114年,Change,
2024,2025,(%),2024,2025,(%),
全體所得收入者：All income recipient,605889,636558,5.0599999999999996,499891,518510,3.72
按教育程度別分：Education Attainment,,,,,,
1.研究院(所)及以上Graduate schooland above,1068124,1134533,6.22,945388,953898,0.9
2.大學教育University,683514,710373,3.93,562676,586804,4.29
3.專科教育Junior college,663614,694597,4.67,568607,597983,5.17
4.高中教育Senior high school,545936,564931,3.48,472968,491097,3.83
5.國中教育Junior high school,473938,499023,5.29,415960,422793,1.64
"6.國小教育及以下Primary school,Supplementary schooland illiteracy",367151,381305,3.86,305512,319095,4.45
,,,,,,
附註：109年起依據我國「教育程度取得標準分類」及OECD教育程度之定義，在學或肄業者由「目前就讀或,,,,,,
肄業學校」，修改為「在學或肄業之前最高學歷」。,,,,,,
"Note：Since 2020, according to our country's ""Classification of Educational Attainment Acquisition Standards"" and the definition",,,,,,
"of OECD educational attainment, those who are studying or undergraduate revised from ""currently studying or undergraduate",,,,,,
"school"" to ""highest degree before studying or undergraduate"".",,,,,,
