第20表所得收入者平均每人可支配所得及中位數所得按職業別分,,,,,,,,
Table 20. Mean and Median Disposable Income of IncomeRecipients by Occupation,,,,,,,,
,,,,,,,,
,所得收入者平均每人可支配所得,所得收入者中位數可支配所得,,,,,,
Mean disposable income,Median disposable income,,,,,,,
,113年,114年,113年,114年,,,,
2024,2025,2024,2025,,,,,
,金 額,年增率,金 額,年增率,金 額,年增率,金 額,年增率
(元),(%),(元),(%),(元),(%),(元),(%),
Value,Change,Value,Change,Value,Change,Value,Change,
(NT$),(%),(NT$),(%),(NT$),(%),(NT$),(%),
全體所得收入者：All income recipient,605889,2.99,636558,5.0599999999999996,499891,5.66,518510,3.72
按職業別分：Occupation,,,,,,,,
"1.民意代表、主管及經理人員Legislators, Senior Officialsand Managers",1500735,-2.5499999999999998,1579398,5.24,1288241,3.31,1306305,1.4
2.專業人員Professionals,971121,3.73,1014545,4.47,831919,4.5199999999999996,870487,4.6399999999999997
3.技術員及助理專業人員Technicians and AssociateProfessionals,794205,3.14,834494,5.07,672690,2.2200000000000002,709558,5.48
4.事務支援人員Clerical Support Workers,521137,1.56,562507,7.94,476257,4.97,508369,6.74
5.服務及銷售工作人員Service and Sales Workers,561506,1.57,609172,8.49,480770,4.79,516608,7.45
"6.農林漁牧業生產人員Skilled Agricultural,Forestry and Fishery Workers",509129,2.96,521766,2.48,425260,9.19,409847,-3.62
6.1.農事畜牧及有關工作者Skilled Agricultural Workersand Animal Producers,487971,1.77,516514,5.85,405603,8.7100000000000009,395400,-2.52
6.2林業、漁業生產人員Skilled Forestryand Fishery Workers,737305,4.43,613813,-16.75,567943,0.63,520785,-8.3000000000000007
"7/8/9.技藝有關工作人員、機械設備操作及組裝人員、基層技術工及勞力工Craft and Related TradesWorkers,Plant and MachineOperators and Assemblers,Elementary Labourers",559913,3.07,600841,7.31,503324,6.11,538189,6.93
7.技藝有關工作人員Craft and RelatedTrades Workers,626476,3.81,674866,7.72,556993,4.8499999999999996,599481,7.63
"8.機械設備操作及組裝人員Plant and Machine Operators,and Assemblers",550940,2.14,586821,6.51,500626,6.51,541037,8.07
9.基層技術工及勞力工Elementary Labourers,448789,4.7,487586,8.64,413248,4.0599999999999996,461350,11.64
10.其他Others,413722,6.44,415511,0.43,295675,-0.82,316999,7.21
