第1表所得總額與可支配所得,,,,,,,,,
Table 1. Current Receipts and Disposable Income (at CurrentPrices and 2021 Constant Price),,,,,,,,,
,按當年幣值計算,按110年價格計算,,,,,,,
At current price,At2021constantprice,,,,,,,,
,,,,,,,,,
,所得總額,可 支 配所 得,平均每戶所得總額,平均每戶可 支 配所 得,所得總額,可 支 配所 得,平均每戶所得總額,平均每戶可 支 配所 得,
年別,（億元）,（億元）,（元）,（元）,（億元）,（億元）,（元）,（元）,
Year,Current receipts,Disposable income,Average current receipts per household,Average disposable income per household,Current receipts,Disposable income,Average current receipts per household,Average disposable income per household,
,(NT$100 million),(NT$100 million),(NT$),(NT$),(NT$100 million),(NT$100 million),(NT$),(NT$),
63年,1974,2945,2703,101110,92813,7592,6968,260660,239270
64年,1975,3377,3066,111117,101821,8632,7837,284041,260279
65年,1976,3906,3625,125324,116297,9719,9020,311829,289368
66年,1977,4748,4249,146204,130830,11153,9981,343444,307329
67年,1978,5916,5248,175558,155737,12994,11526,385588,342054
68年,1979,7438,6635,211224,188407,14829,13228,421100,375612
69年,1980,9652,8568,262614,233112,16343,14507,444656,394704
70年,1981,11565,10199,302114,266439,17595,15517,459629,405354
71年,1982,12514,10915,315573,275250,18567,16194,468209,408383
72年,1983,14001,12144,341143,295887,20268,17580,493838,428325
73年,1984,15341,13194,365394,314245,21913,18846,521917,448857
74年,1985,16053,13742,374384,320492,22819,19534,532173,455568
75年,1986,17705,15128,399935,341728,24642,21055,556625,475613
76年,1987,19620,16763,428931,366487,27568,23553,602685,514946
77年,1988,22968,19437,485049,410483,32358,27384,683360,578308
78年,1989,27121,22767,553917,464994,37475,31459,765396,642523
79年,1990,31542,26145,627511,520147,41535,34428,826325,684945
80年,1991,36705,30302,711333,587242,47106,38889,912902,753647
81年,1992,41356,33823,782173,639696,51297,41954,970197,793471
82年,1993,47929,39444,884446,727879,57469,47295,1060487,872757
83年,1994,52831,42855,948941,769755,61877,50193,1111432,901564
84年,1995,58977,46499,1029053,811338,67035,52852,1169644,922185
85年,1996,62095,48825,1050994,826378,69543,54681,1177057,925499
86年,1997,66986,52706,1097363,863427,74305,58465,1217263,957767
87年,1998,70027,54775,1116324,873175,76241,59635,1215377,950653
88年,1999,73046,57176,1135817,889053,79814,62474,1241059,971430
89年,2000,75067,58734,1139336,891445,82319,64408,1249409,977569
90年,2001,74609,58468,1108461,868651,81300,63711,1207869,946552
91年,2002,76023,59907,1111550,875919,82805,65251,1210707,954056
92年,2003,77429,61377,1112233,881662,84474,66962,1213433,961883
93年,2004,79545,63131,1122966,891249,85874,68154,1212314,962160
94年,2005,81700,64471,1133642,894574,87906,69368,1219757,962529
95年,2006,84140,66729,1151338,913092,89596,71056,1226001,972305
96年,2007,86181,68499,1162366,923874,90517,71945,1220844,970354
97年,2008,86832,68934,1150912,913687,89684,71198,1188713,943697
98年,2009,86736,68239,1128201,887605,91119,71687,1185210,932456
99年,2010,88113,69733,1123761,889353,91823,72669,1171072,926796
100年,2011,92166,72274,1157895,907988,95757,75090,1203008,943364
101年,2012,95060,74601,1176877,923584,98040,76940,1213776,952541
102年,2013,97936,77182,1195566,942208,101080,79659,1233942,972451
103年,2014,100616,79323,1213703,956849,103196,81357,1244824,981384
104年,2015,102701,80921,1224600,964895,106239,83708,1266784,998133
105年,2016,106014,84000,1253389,993115,109282,86589,1292020,1023724
106年,2017,110634,87213,1292578,1018941,114303,90105,1335446,1052734
107年,2018,113264,89569,1310447,1036304,115836,91603,1340199,1059832
108年,2019,116680,92563,1335845,1059731,118879,94308,1361024,1079706
109年,2020,119758,95327,1356343,1079648,123119,98002,1394410,1109950
110年,2021,122951,97276,1378390,1090554,122951,97276,1378390,1090554
111年,2022,126186,99421,1406998,1108569,121239,95524,1351843,1065112
112年,2023,131608,103668,1443071,1136708,125413,98788,1375139,1083198
113年,2024,137049,107922,1479692,1165206,127074,100067,1371991,1080395
114年,2025,149199,118138,1528597,1210367,137245,108673,1406124,1113391
114年年增率(%),,,,,,,,,
Changes in percentage,8.865442287065207,9.4660958840644192,3.3050797057766035,3.8757953529247269,8.0039976706485874,8.6002378406467628,2.4878443080166068,3.0540681880238285,
2024-2025,,,,,,,,,
