第16表農家平均每戶所得總額按來自農業與非農業分,,,,,,,,
Table 16. Farm Households Income from Agricultural and Non-agricultural,,,,,,,,
,,,,,,,,
年 別,金    額 (元),結  構  比(%),,,,,,
Values per household (NT$),Percent distribution (%),,,,,,,
Year,平均每戶所得總額,來自農業所得,來自非農業所得,合 計,來自農業所得,來自非農業所得,,
,Farm households’ current receipts,Agriculturalincome,Non-agricultural income,Farm households’ current receipts,Agriculturalincome,Non-agricultural income,,
60年,1971,,40858,18480,22378,100,45.229820353419157,54.770179646580843
65年,1976,,106257,41377,64880,100,38.940493332203999,61.059506667796001
66年,1977,,116570,40381,76189,100,34.640988247404991,65.359011752595009
67年,1978,,142291,40987,101304,100,28.8050544307089,71.194945569291107
68年,1979,,174423,44600,129823,100,25.570022302104654,74.429977697895339
69年,1980,,219412,54436,164976,100,24.809946584507685,75.190053415492315
70年,1981,,244424,64457,179967,100,26.370978300003273,73.629021699996727
71年,1982,,262245,73084,189161,100,27.868596160079317,72.131403839920679
72年,1983,,279845,71729,208116,100,25.631688970680202,74.368311029319798
73年,1984,,302000,74765,227235,100,24.756622516556291,75.243377483443709
74年,1985,,310585,76889,233696,100,24.756185907239566,75.243814092760431
75年,1986,,337331,78341,258990,100,23.223777239565887,76.776222760434109
76年,1987,,361992,87557,274435,100,24.187551106101793,75.812448893898207
77年,1988,,399651,96984,302667,100,24.2671731085372,75.732826891462807
78年,1989,,453002,99575,353427,100,21.981139156118516,78.018860843881484
79年,1990,,503830,101265,402563,100,20.09904134331024,79.900561697397933
80年,1991,,572269,122360,449909,100,21.381553080806405,78.618446919193602
81年,1992,,617941,124497,493444,100,20.14706905675461,79.852930943245397
82年,1993,,727574,134466,593108,100,18.481419072149365,81.518580927850635
83年,1994,,775083,154129,620954,100,19.885483232118368,80.114516767881639
84年,1995,,871082,172083,698999,100,19.755086203135868,80.244913796864125
85年,1996,,885473,176837,708636,100,19.970908203863925,80.029091796136072
86年,1997,,907221,154919,752302,100,17.076214064709703,82.923785935290297
87年,1998,,881853,148997,732856,100,16.895899883540679,83.104100116459321
88年,1999,,927663,169058,758604,100,18.224074906512385,81.775817295720529
89年,2000,,917623,161121,756502,100,17.558518040633246,82.441481959366754
90年,2001,,881298,163158,718140,100,18.513374590660593,81.48662540933941
91年,2002,,860771,176398,684373,100,20.493023115323357,79.506976884676646
92年,2003,,873901,172414,701487,100,19.729237064610295,80.270762935389712
93年,2004,,893124,187758,705366,100,21.022612761497843,78.97738723850216
94年,2005,,872677,168694,703983,100,19.330634358416688,80.669365641583312
95年,2006,,941160,195137,746022,100,20.733669089209062,79.266224658931534
96年,2007,,937053,180562,756491,100,19.269134189848387,80.730865810151613
97年,2008,,917705,196919,720786,100,21.457766929459904,78.542233070540107
98年,2009,,872668,182102,690567,100,20.867271402182734,79.132843188933251
99年,2010,不含全年休廢耕者(A),884547,182160,702387,100,20.593591974196961,79.406408025803046
,,含全年休廢耕者(B),869150,130216,738935,100,14.981993902088247,85.018121152850483
100年,2011,不含全年休廢耕者(A),933785,183948,749837,100,19.69918128905476,80.300818710945236
,,含全年休廢耕者(B),951578,136927,814651,100,14.38946675942487,85.610533240575123
101年,2012,不含全年休廢耕者(A),995645,215795,779849,100,21.673889790035606,78.326009772559502
,,含全年休廢耕者(B),983417,156889,826528,100,15.95345616356032,84.046543836439682
102年,2013,不含全年休廢耕者(A),985342,213800,771542,100,21.698050017151406,78.301949982848598
,,含全年休廢耕者(B),984533,165828,818706,100,16.843315561794274,83.156786009204367
103年,2014,不含全年休廢耕者(A),1023248,224859,798389,100,21.97502462746079,78.024975372539203
,,含全年休廢耕者(B),1021346,176158,845187,100,17.24763204633885,82.752270043648281
104年,2015,不含全年休廢耕者(A),1025698,229860,795838,100,22.41010511866066,77.589894881339333
,,含全年休廢耕者(B),1011408,182107,829301,100,18.005295587932864,81.994704412067136
