第15表農家與非農家平均每戶及每人可支配所得,,,,,,,,,,,,,
Table 15. Average Disposable Income per Household and per Capita DisposableIncome by Farm or Non-farm Households,,,,,,,,,,,,,
單位：元；%,,,,,,,,,,,,,
Unit：NT$ ; %,,,,,,,,,,,,,
年別,平均每戶可支配所得,平均每人可支配所得,,,,,,,,,,,
Average disposable income per household,Per capita disposable income,,,,,,,,,,,,
農家Farm,非農家Non-farm,比較(非農家=100),農家Farm,非農家Non-farm,比較(非農家=100),,,,,,,,
Year,(不含全年休廢耕者),(含全年休廢耕者),(含全年休廢耕者),(不含全年休廢耕者),(不含全年休廢耕者),(含全年休廢耕者),(含全年休廢耕者),(不含全年休廢耕者),,,,,
(A),(B),(C),(D),(A)/(C),(B)/(D),(E),(F),(G),(H),(E)/(G),(F)/(H),,
53年,1964,27995,…,28982,…,96.594437926989158,…,3682,…,5212,…,70.644666155026854,…
57年,1968,30154,…,42365,…,71.176678862268389,…,4487,…,7807,…,57.474061739464588,…
59年,1970,32994,…,49177,…,67.09233991500092,…,4984,…,8925,…,55.843137254901961,…
60年,1971,38538,…,53789,…,71.646619197233633,…,5839,…,9979,…,58.51287704178776,…
65年,1976,100041,…,121887,…,82.076841664820705,…,16440,…,24601,…,66.826551766188373,…
66年,1977,107917,…,138164,…,78.107900755623746,…,18016,…,29026,…,62.068490319024328,…
67年,1978,129362,…,163717,…,79.015618414703425,…,22265,…,35208,…,63.238468529879576,…
68年,1979,157797,…,198027,…,79.684588465209288,…,27684,…,42956,…,64.44734146568581,…
69年,1980,198523,…,243389,…,81.566134870515924,…,35199,…,52682,…,66.814092099768416,…
70年,1981,219696,－,279956,－,78.47518895826488,－,39443,－,61260,－,64.386222657525309,－
71年,1982,232870,－,287497,－,80.999106077628639,－,42110,－,63747,－,66.058010573046573,－
72年,1983,247548,－,309360,－,80.019394879751744,－,46184,－,68291,－,67.628237981578835,－
73年,1984,262260,－,327988,－,79.96024244789443,－,48838,－,72886,－,67.006009384518279,－
74年,1985,271271,－,333041,－,81.45273404775989,－,52067,－,75009,－,69.414336946233121,－
75年,1986,294148,－,353023,－,83.322616373437413,－,57339,－,80415,－,71.303861219921657,－
76年,1987,314370,－,378285,－,83.104008882191991,－,63509,－,88178,－,72.023634013019119,－
77年,1988,343140,－,424814,－,80.774174109139523,－,71488,－,101874,－,70.17295875296935,－
78年,1989,384559,－,481149,－,79.925137535358076,－,83238,－,115107,－,72.313586489092756,－
79年,1990,424204,－,539023,－,78.698682616511732,－,91031,－,131469,－,69.241418128988585,－
80年,1991,484495,－,606021,－,79.946899529884277,－,105097,－,148535,－,70.755714141448152,－
81年,1992,521166,－,662162,－,78.706721315931745,－,117380,－,163901,－,71.616402584486977,－
82年,1993,616736,－,747241,－,82.535085735391931,－,136749,－,185881,－,73.568035463549265,－
83年,1994,648082,－,789391,－,82.098985167046493,－,146294,－,199846,－,73.203366592276055,－
84年,1995,713912,－,826004,－,86.429605667769167,－,162622,－,213438,－,76.191680956530703,－
85年,1996,724659,－,839570,－,86.313112664816515,－,165826,－,217505,－,76.240086434794605,－
86年,1997,735140,－,880800,－,83.462761126248864,－,167458,－,233634,－,71.675355470522277,－
87年,1998,711672,－,892906,－,79.70290265716659,－,171075,－,240028,－,71.272934824270507,－
88年,1999,758112,－,905902,－,83.685873306384138,－,187188,－,253045,－,73.974194313264434,－
89年,2000,750003,－,909010,－,82.50767318291328,－,184730,－,255340,－,72.346675021539909,－
90年,2001,720982,－,886731,－,81.307859993617001,－,183456,－,250489,－,73.239144233878534,－
91年,2002,703171,－,895568,－,78.516762546227653,－,177121,－,248080,－,71.396726862302486,－
92年,2003,706999,－,899231,－,78.622623107966689,－,179898,－,257659,－,69.82018869901691,－
93年,2004,729475,－,905930,－,80.52222577903369,－,187526,－,261075,－,71.828401800248969,－
94年,2005,710673,－,910988,－,78.011236152397174,－,189009,－,268728,－,70.334687862820402,－
95年,2006,774219,－,925510,－,83.653229030480489,－,202675,－,274632,－,73.798756153689311,－
96年,2007,768386,－,937071,－,81.998695936593919,－,209942,－,278890,－,75.277708056940014,－
97年,2008,753776,－,925710,－,81.426796728997203,－,203174,－,277991,－,73.086538772837969,－
98年,2009,708602,－,900631,－,78.67839325983671,－,194671,－,271274,－,71.761761171361798,－
99年,2010,714843,702834,902909,910281,79.171101406675533,77.210663520385452,200799,203720,279538,281821,71.832452117422321,72.287019065293222
100年,2011,755804,768712,920807,924871,82.080609726033799,83.115591255429138,210530,215325,282456,283703,74.535502874784029,75.898034211834215
101年,2012,814599,804168,932227,937188,87.382043214796397,85.806476395344362,229465,231749,291321,292871,78.76706450959594,79.130060675177802
102年,2013,807704,803957,953667,957959,84.694552710747047,83.923946640722619,232768,234390,298955,301245,77.860547574049605,77.807100532788937
103年,2014,846620,841011,965417,968666,87.694747451101435,86.821566979743281,243983,244480,309429,310470,78.849429109747305,78.7451283537862
104年,2015,850717,833182,974042,978517,87.33884165159202,85.147422068293139,248748,249456,317278,317700,78.400645490705315,78.519357884796975
105年,2016,891158,898690,1001448,1002409,88.986946900887517,89.653025860701575,261337,264321,329424,329740,79.331499830006308,80.160429429247287
106年,2017,873103,870065,1030845,1033320,84.697796467946191,84.200925173228029,267823,270207,337982,338793,79.241793941689195,79.755780078100784
107年,2018,915630,896723,1045275,1048597,87.597043840137772,85.516456751259057,280868,279353,344975,346072,81.416914269149942,80.721063824868807
108年,2019,939861,934116,1067889,1070020,88.011113514606848,87.298928991981455,290081,291911,355963,356673,81.491896629705892,81.84275232495871
109年,2020,945033,949084,1087750,1088893,86.879613881866234,87.160446435049181,303869,308144,373797,374190,81.292519736648501,82.349608487666686
110年,2021,972689,952681,1098304,1101356,88.562820494143708,86.500731825131922,303965,300530,384022,385090,79.153017275051951,78.041496792957489
111年,2022,1007557,989508,1114527,1116845,90.402206496567601,88.598507402549146,320878,318170,396629,397454,80.901295669252633,80.052031178450846
112年,2023,1042944,1021104,1142015,1144359,91.324895032026717,89.229341491612331,336434,333694,412280,413126,81.603279324730778,80.772936101818814
113年,2024,1062716,1046013,1170618,1172452,90.78247558127417,89.215848495290217,337370,336339,424137,424801,79.542694931118945,79.175661074244175
114年,2025,1094046,1080566,1216419,1217803,89.93989735444778,88.730771725804587,374673,373898,453888,454404,82.547456641285947,82.283166521421464
114年年增率(%),,,,,,,,,,,,,
Changes inpercentage,2.9481065496332004,3.3033050258457486,3.9125487562979622,3.8680474765704798,-0.92812871804983654,-0.54371143431005686,11.056999733230576,11.167007097006287,7.0144788122705526,6.9686747441743302,3.7775457730832684,3.9248241252615834,
2024-2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
附註：一、本調查98年(含)以前，全年休(廢)耕者不視為農家。,,,,,,,,,,,,,
二、自99年起，農家之定義配合農林漁牧業普查，將全年休(廢)耕者亦視為農家。為利資料比較，本表同時,,,,,,,,,,,,,
列示舊定義資料(A、C、E、G欄)。,,,,,,,,,,,,,
"Note：1.Before 2010, ""farm household"" means the household that plant crops on land.For 2010 figures of this old definition refer to(A),(C),(E),(G).",,,,,,,,,,,,,
"2.From 2010, in accordance with the definition of Agricultural、Forestry、Fishery and Husbandry Census, ""farm household"" include",,,,,,,,,,,,,
"the households that hold arable land and leave the land fallow and uncultivated.For 2010 figures of this new definition refer to(B),(D),(F),(H).",,,,,,,,,,,,,
