114年家庭收支調查報告,,,,,,,,,,,,,,,,,,,,,,"The Survey of Family Income and Expenditure, 2025"
家 庭 收 支 重 要 指 標,Major Figures of Family Income and Expenditure,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,所   得   總   額  (元),可支配所得平均數Average disposable income,可支配所得中位數Median disposableincome,消     費     支     出     (元),,,,住宅坪數dwelling space per household,,,,,,,,,,,,
,戶內人口,就業人數,Current receipts per household (NT$),Expenditure (NT$),消費傾向,儲 蓄,儲蓄率,自有住,,,,,,,,,,,,,,
,,,,受 僱 人員 報 酬,產 業 主所   得,財產所得收    入,移轉所得,,食品飲料及菸草,醫療保健,休閒、運動、文化及教育,,,,宅 率,,,,,,,
,(人),(人),,(元),(元),(元),(元),每戶(元),每人(元),每戶(元),每人(元),,(元),(元),(元),(%),(元),(%),平均數(坪),中位數(坪),(%),
,No. of persons per household,No. of persons employed per household,,Compen-sation of employees,Entrepre-neurial income,Property income,Transfer income,Per household(NT$),Perperson(NT$),Per household(NT$),Perperson(NT$),,"Food, beverage and tobacco",Health,"Recreation, sport, culture and education services",Average propensity to consume,Savings,Savings rate,Average,Median,Rate of self-owned house,
,(Person),(Person),,(NT$),(NT$),(NT$),(NT$),,(NT$),(NT$),(NT$),(%),(NT$),(%),(pin),(pin),(%),,,,,
平均每戶每年,,,,,,,,,,,,,,,,,,,,,,Year Average per household
70年,4.79,1.92,302114,187696,64242,36271,13905,266439,55624,233886,46894,199523,76965,8971,12919,74.89,66916,25.11,27,25,73.33,1981
75年,4.53,1.83,399935,238155,89056,48401,24323,341728,75437,295873,63998,258474,85671,14013,20611,75.64,83254,24.36,31,28,77.56,1986
76年,4.41,1.8,428931,254963,96900,51039,26029,366487,83104,320517,70851,275105,87967,14750,22976,75.07,91382,24.93,31.7,30,78.58,1987
77年,4.28,1.78,485049,286853,109144,59995,29057,410483,95907,359440,81122,302207,91549,15832,27213,73.62,108276,26.38,32,30,77.76,1988
78年,4.25,1.77,553917,331893,117106,72680,32238,464994,109410,411342,93324,336875,96875,16354,30844,72.45,128119,27.55,33.3,30,79.02,1989
79年,4.19,1.77,627511,379414,127473,83281,37343,520147,124140,453416,104980,370323,99581,17866,36913,71.2,149824,28.8,33.9,30,80.47,1990
80年,4.16,1.76,711333,429095,139521,98941,43776,587242,141164,510410,119043,411760,104587,22074,40012,70.12,175482,29.88,34.4,30,80.4,1991
81年,4.1,1.75,782173,479008,146969,110470,45726,639696,156023,558336,132358,445220,107092,22478,45190,69.6,194476,30.4,35.5,30,82.8,1992
82年,4.1,1.77,884446,524583,160674,128797,70392,727879,177531,639907,150492,504133,111462,35124,49956,69.26,223747,30.74,36,31,81.88,1993
83年,4.02,1.75,948941,553262,171475,144712,79492,769755,191481,668450,161906,545987,108126,41400,56164,70.93,223768,29.07,36.8,32,82.52,1994
84年,3.94,1.71,1029053,570468,182869,154753,120963,811338,205923,700873,174288,591035,115419,58841,59117,72.85,220303,27.15,37.2,32,83.56,1995
85年,3.92,1.71,1050994,579472,186931,163427,121164,826378,210811,720970,179669,614435,121156,56718,61017,74.35,211943,25.65,38.1,32,84.45,1996
86年,3.84,1.69,1097363,609840,189659,172414,125450,863427,224851,750341,190899,634477,121684,59163,63479,73.48,228951,26.52,39.2,34,84.57,1997
87年,3.77,1.64,1116324,622207,179353,180773,133991,873175,231611,763717,195227,646343,122544,61671,64189,74.02,226831,25.98,39.8,34,84.61,1998
88年,3.63,1.6,1135817,628065,179790,180648,147314,889053,244918,776134,206589,655282,119414,65141,65837,73.71,233770,26.29,39.6,35,84.91,1999
89年,3.62,1.58,1139336,631808,174654,184107,148767,891445,246256,776390,207552,662722,114875,65316,69054,74.34,228723,25.66,40.4,35,85.35,2000
90年,3.58,1.56,1108461,602182,176460,177199,152620,868651,242640,737682,200685,657872,113755,66254,68545,75.73,210779,24.27,41,35,85.64,2001
91年,3.65,1.57,1111550,604696,177074,164462,165318,875919,239978,740556,198621,672619,115500,70908,71092,76.79,203300,23.21,41.7,36,85.4,2002
92年,3.53,1.54,1112233,615294,170902,158839,167198,881662,249763,739648,208253,666372,112369,72108,69283,75.58,215290,24.42,41.9,36,85.11,2003
93年,3.5,1.53,1122966,621281,169961,160690,171035,891249,254643,773320,213633,692648,113868,75888,72610,77.72,198600,22.28,42.4,36,86.8,2004
94年,3.42,1.51,1133642,628527,163882,161744,179489,894574,261571,775656,218949,701076,113579,78543,71398,78.37,193497,21.63,42.2,36,87.33,2005
95年,3.41,1.52,1151338,635926,167860,169822,177730,913092,267769,796091,225061,713024,115036,83020,72241,78.09,200068,21.91,42.8,36,87.83,2006
96年,3.38,1.5,1162366,640733,160457,173977,187199,923874,273336,799571,230122,716094,118021,84640,70467,77.51,207780,22.49,43.3,37,88.14,2007
97年,3.35,1.49,1150912,623282,149688,169683,208260,913687,272742,795643,227756,705413,115664,85166,70432,77.21,208274,22.79,43.2,37,87.36,2008
98年,3.34,1.46,1128201,608940,145223,171088,202950,887605,265750,769705,225056,705680,117712,86752,68875,79.5,181925,20.5,44,38,87.89,2009
99年,3.25,1.44,1123761,619014,145430,166096,193221,889353,273647,771003,231975,702292,116864,85052,68336,78.97,187061,21.03,43.1,36,84.89,2010
100年,3.29,1.49,1157895,646849,147071,170078,193897,907988,275984,782517,233527,729010,118263,88275,66949,80.29,178978,19.71,44,38,84.58,2011
101年,3.23,1.46,1176877,647332,148332,169341,211872,923584,285939,808193,243131,727693,120399,87480,64459,78.79,195891,21.21,43.6,37,85.77,2012
102年,3.21,1.46,1195566,655707,149970,170301,219589,942208,293523,822940,250308,747922,121903,90271,64747,79.38,194286,20.62,43.5,38,85.34,2013
103年,3.15,1.45,1213703,667520,151601,176624,217959,956849,303762,830188,259926,755169,119845,92272,64619,78.92,201680,21.08,44.1,38,84.01,2014
104年,3.1,1.43,1224600,665122,147585,182698,229194,964895,311256,836792,266490,759647,120619,93899,65668,78.73,205248,21.27,44,38,84.23,2015
105年,3.07,1.42,1253389,674344,154303,185749,238993,993115,323490,858101,276981,776811,122391,97258,65422,78.22,216304,21.78,44.3,38,85.36,2016
106年,3.07,1.43,1292578,695838,156791,190713,249236,1018941,331903,881107,284228,811670,126606,101076,69745,79.66,207271,20.34,45,40,84.83,2017
107年,3.05,1.42,1310447,707123,158872,192481,251971,1036304,339772,886101,291514,811359,126225,105003,67497,78.29,224945,21.71,45.2,40,84.52,2018
108年,3.02,1.4,1335845,724607,157174,194064,260000,1059731,350904,905000,302887,829199,126084,108726,71413,78.25,230532,21.75,45.1,40,84.7,2019
109年,2.92,1.37,1356343,725932,155828,195412,279171,1079648,369742,928518,320265,815100,127202,114853,53734,75.5,264548,24.5,44.9,38,84.68,2020
110年,2.89,1.35,1378390,732783,154289,197891,293427,1090554,377354,929061,325948,815442,129023,119530,43623,74.77,275112,25.23,45,39,85.04,2021
111年,2.83,1.34,1406998,747733,157772,205791,295703,1108569,391720,940341,336850,834537,127071,123409,44534,75.28,274032,24.72,45.1,39,84.61,2022
112年,2.79,1.34,1443071,758690,158897,210197,315287,1136708,407422,961051,349359,861305,131711,125245,51906,75.77,275402,24.23,40.1,35,84.5,2023
113年,2.78,1.33,1479692,788831,160166,220699,309997,1165206,419139,984749,355617,888699,135941,131147,55892,76.27,276507,23.73,39.8,36,84.4,2024
114年,2.69,1.29,1528597,804748,162344,230761,330745,1210367,449951,1017802,366841,920397,141356,129564,61036,76.04,289970,23.96,40.2,35,83.95,2025
附註： 1.本表之財產所得含自用住宅及其他營建物設算租金(未扣除折舊費)，雜項收入因金額低，併計於移轉所得項下。,,,,,,,,,,,,"Note : 1.Property income includes imputed rentals of owner-occupiers, and transfer income includes miscellaneous receipts.",,,,,,,,,,
2.每人可支配所得平均數係以平均每戶可支配所得除以平均每戶人數計算。,,,,,,,,,,,,2.Mean household income of individuals is per household disposable incomes divided by the number of per household members.,,,,,,,,,,
3.每人可支配所得中位數係以每戶可支配所得除以每戶人數重新排序後，按人數計算。,,,,,,,,,,,,"3.First, divide per household disposable incomes by the number of per household members to calculate",,,,,,,,,,
4.住宅所屬之「自有」，98年及以前指「現住房屋所有權屬戶內成員之任何一人或其直系親屬者」，,,,,,,,,,,,,household income of individuals.And then rank household income for each individual in a population.,,,,,,,,,,
