name,schema,description
a_lvr_land_a.xls,schema-main.csv,臺北市不動產買賣
a_lvr_land_b.xls,schema-main-sale.csv,臺北市預售屋買賣
a_lvr_land_c.xls,schema-main-rent.csv,臺北市不動產租賃
build_time.xml,schema-time.csv,資料揭露期程
b_lvr_land_a.xls,schema-main.csv,臺中市不動產買賣
b_lvr_land_b.xls,schema-main-sale.csv,臺中市預售屋買賣
b_lvr_land_c.xls,schema-main-rent.csv,臺中市不動產租賃
c_lvr_land_a.xls,schema-main.csv,基隆市不動產買賣
c_lvr_land_b.xls,schema-main-sale.csv,基隆市預售屋買賣
c_lvr_land_c.xls,schema-main-rent.csv,基隆市不動產租賃
d_lvr_land_a.xls,schema-main.csv,臺南市不動產買賣
d_lvr_land_b.xls,schema-main-sale.csv,臺南市預售屋買賣
d_lvr_land_c.xls,schema-main-rent.csv,臺南市不動產租賃
e_lvr_land_a.xls,schema-main.csv,高雄市不動產買賣
e_lvr_land_b.xls,schema-main-sale.csv,高雄市預售屋買賣
e_lvr_land_c.xls,schema-main-rent.csv,高雄市不動產租賃
f_lvr_land_a.xls,schema-main.csv,新北市不動產買賣
f_lvr_land_b.xls,schema-main-sale.csv,新北市預售屋買賣
f_lvr_land_c.xls,schema-main-rent.csv,新北市不動產租賃
g_lvr_land_a.xls,schema-main.csv,宜蘭縣不動產買賣
g_lvr_land_b.xls,schema-main-sale.csv,宜蘭縣預售屋買賣
g_lvr_land_c.xls,schema-main-rent.csv,宜蘭縣不動產租賃
h_lvr_land_a.xls,schema-main.csv,桃園市不動產買賣
h_lvr_land_b.xls,schema-main-sale.csv,桃園市預售屋買賣
h_lvr_land_c.xls,schema-main-rent.csv,桃園市不動產租賃
i_lvr_land_a.xls,schema-main.csv,嘉義市不動產買賣
i_lvr_land_b.xls,schema-main-sale.csv,嘉義市預售屋買賣
i_lvr_land_c.xls,schema-main-rent.csv,嘉義市不動產租賃
j_lvr_land_a.xls,schema-main.csv,新竹縣不動產買賣
j_lvr_land_b.xls,schema-main-sale.csv,新竹縣預售屋買賣
j_lvr_land_c.xls,schema-main-rent.csv,新竹縣不動產租賃
k_lvr_land_a.xls,schema-main.csv,苗栗縣不動產買賣
k_lvr_land_b.xls,schema-main-sale.csv,苗栗縣預售屋買賣
k_lvr_land_c.xls,schema-main-rent.csv,苗栗縣不動產租賃
m_lvr_land_a.xls,schema-main.csv,南投縣不動產買賣
m_lvr_land_b.xls,schema-main-sale.csv,南投縣預售屋買賣
m_lvr_land_c.xls,schema-main-rent.csv,南投縣不動產租賃
n_lvr_land_a.xls,schema-main.csv,彰化縣不動產買賣
n_lvr_land_b.xls,schema-main-sale.csv,彰化縣預售屋買賣
n_lvr_land_c.xls,schema-main-rent.csv,彰化縣不動產租賃
o_lvr_land_a.xls,schema-main.csv,新竹市不動產買賣
o_lvr_land_b.xls,schema-main-sale.csv,新竹市預售屋買賣
o_lvr_land_c.xls,schema-main-rent.csv,新竹市不動產租賃
p_lvr_land_a.xls,schema-main.csv,雲林縣不動產買賣
p_lvr_land_b.xls,schema-main-sale.csv,雲林縣預售屋買賣
p_lvr_land_c.xls,schema-main-rent.csv,雲林縣不動產租賃
q_lvr_land_a.xls,schema-main.csv,嘉義縣不動產買賣
q_lvr_land_b.xls,schema-main-sale.csv,嘉義縣預售屋買賣
q_lvr_land_c.xls,schema-main-rent.csv,嘉義縣不動產租賃
t_lvr_land_a.xls,schema-main.csv,屏東縣不動產買賣
t_lvr_land_b.xls,schema-main-sale.csv,屏東縣預售屋買賣
t_lvr_land_c.xls,schema-main-rent.csv,屏東縣不動產租賃
u_lvr_land_a.xls,schema-main.csv,花蓮縣不動產買賣
u_lvr_land_b.xls,schema-main-sale.csv,花蓮縣預售屋買賣
u_lvr_land_c.xls,schema-main-rent.csv,花蓮縣不動產租賃
v_lvr_land_a.xls,schema-main.csv,臺東縣不動產買賣
v_lvr_land_b.xls,schema-main-sale.csv,臺東縣預售屋買賣
v_lvr_land_c.xls,schema-main-rent.csv,臺東縣不動產租賃
w_lvr_land_a.xls,schema-main.csv,金門縣不動產買賣
w_lvr_land_b.xls,schema-main-sale.csv,金門縣預售屋買賣
x_lvr_land_a.xls,schema-main.csv,澎湖縣不動產買賣
x_lvr_land_c.xls,schema-main-rent.csv,澎湖縣不動產租賃
z_lvr_land_a.xls,schema-main.csv,連江縣不動產買賣
